br_misp_retired.cond_taken
245
233
228
236
241
242
242
241
233
233
247
242
232
232
237
238
243
228
247
227
232
227
237
237
227
242
240
246
237
247
235
238
233
240
229
242
240
246
242
247
242
245
239
231
235
227
243
232
242
240
228
225
246
247
245
242
225
241
245
229
225
227
247
235
230
247
232
227
225
227
240
244
227
235
235
227
247
240
235
247
236
246
232
246
235
236
247
245
227
241
233
242
237
237
230
226
232
239
230
238
228
240
245
240
229
247
230
234
245
227
225
245
230
233
232
242
243
242
229
237
242
242
240
245
241
225
247
245
229
244
247
245
232
234
228
242
230
245
233
228
230
247
235
240
240
227
238
246
237
240
233
242
231
229
237
231
227
230
242
232
245
237
237
245
233
227
226
236
236
230
240
238
247
237
240
235
232
230
234
225
244
227
238
242
246
247
247
240
247
238
229
238
245
237
232
227
240
241
235
243
246
240
243
230
229
225
225
228
246
241
225
245
247
242
245
233
231
241
242
229
237
238
240
230
239
246
234
231
234
234
244
229
246
230
247
240
232
237
232
240
232
237
225
241
242
229
246
247
236
245
246
237
226
237
240
242
227
232
240
240
234
235
233
232
242
244
230
235
241
241
239
246
241
230
247
232
244
238
227
244
240
237
230
240
240
245
239
239
247
245
246
246
228
237
232
230
232
226
245
227
227
237
244
244
227
247
240
243
246
228
225
230
245
247
227
241
245
227
237
242
240
225
230
231
247
245
242
233
228
230
232
245
237
237
235
240
233
233
230
240
241
241
239
240
245
245
237
234
241
240
235
240
237
245
231
227
237
234
247
235
225
242
237
232
239
240
235
240
235
225
244
240
242
237
233
227
239
242
240
247
245
232
229
227
225
229
242
244
231
230
235
247
235
240
227
247
232
238
243
242
227
247
242
245
227
245
232
244
244
227
225
237
230
233
246
234
245
225
246
225
245
236
234
227
232
230
235
245
228
240
239
241
243
245
242
237
244
238
237
237
236
242
241
245
244
239
247
239
240
243
229
244
225
242
240
227
237
247
230
243
240
225
242
235
234
230
242
245
242
240
244
232
237
245
225
