decode.lcp,dsb2mite_switches.penalty_cycles,frontend_retired.any_dsb_miss,frontend_retired.dsb_miss,frontend_retired.itlb_miss,frontend_retired.l1i_miss,frontend_retired.l2_miss,frontend_retired.latency_ge_1,frontend_retired.latency_ge_128,frontend_retired.latency_ge_16,frontend_retired.latency_ge_2,frontend_retired.latency_ge_256,frontend_retired.latency_ge_2_bubbles_ge_1,frontend_retired.latency_ge_32,frontend_retired.latency_ge_4,frontend_retired.latency_ge_512,frontend_retired.latency_ge_64,frontend_retired.latency_ge_8,frontend_retired.stlb_miss,frontend_retired.unknown_branch,icache_data.stalls,icache_tag.stalls,idq.dsb_cycles_any,idq.dsb_cycles_ok,idq.dsb_uops,idq.mite_cycles_any,idq.mite_cycles_ok,idq.mite_uops,idq.ms_cycles_any,idq.ms_switches,idq.ms_uops,idq_uops_not_delivered.core,idq_uops_not_delivered.cycles_0_uops_deliv.core,idq_uops_not_delivered.cycles_fe_was_ok
26625,132527,4529266,2025017,98830,958431,0,693595,60,44658,370574,0,2097333,4310,141414,0,30,98007,0,13311,1279685,2151871,825107,331693,4394166,8259298,1382959,28707965,2473102,685870,6840678,46259618,4062076,23658869
27770,111139,4486616,2012555,99623,933908,0,658199,0,48672,370875,60,2031288,4070,137578,0,0,106332,0,15448,1302143,2087749,322814,147629,1502428,8172443,1372563,28519294,2472742,687007,6817702,43359935,3803028,22617915
27937,121349,4501957,2070603,98871,927682,0,649107,59,43267,368418,30,2093786,4430,130519,0,0,100204,0,14233,1300420,2106678,296803,139180,1582091,8206305,1375567,28561801,2465028,681041,6770738,44529237,3864356,22983727
27829,111763,4504997,2045613,99632,962459,0,659448,0,45315,361474,119,2165441,4138,136732,0,179,107787,0,13561,1291785,2072215,285314,343126,4461653,8222854,1374830,28612364,2471852,683285,6838461,43774641,3845798,22628529
29709,128790,4483027,2080587,87791,946009,0,665589,60,43836,425942,30,2081153,4160,140167,0,60,102812,0,13311,1256580,2070538,297313,137325,1507218,8179754,1371264,28551779,2457851,684269,6820352,45068453,3951391,22769485
28481,109643,4513880,2044763,91792,918420,0,660159,90,43646,366011,0,2657951,3368,136473,0,0,103271,0,16413,1314665,2122568,288165,139692,1576614,8176749,1375241,28601845,2471557,682387,6808592,43682052,3835075,22677618
26442,123608,4475012,2038294,100064,957526,0,665233,0,42678,377537,59,2080104,3828,136374,0,30,106398,0,16112,1314716,2154224,310302,146114,1615484,8144253,1358410,28297634,2460584,685764,6825719,43393993,3776258,22808186
26978,109038,4519644,2052857,98667,938067,0,663453,30,46645,364840,30,2366430,4574,138208,0,240,102968,210,15155,1265670,2041893,437313,191453,1570855,8249456,1377265,28629452,2479164,687609,6844934,44178961,3866310,22589644
27503,121071,4508836,2034404,96129,923764,0,665182,0,45555,373564,29,2091322,3807,137603,0,0,102441,0,15838,1364086,2061860,298595,138437,1482296,8136390,1366539,28596087,2474817,686462,6837698,43787122,3811126,23129399
27824,115075,4494346,2025142,97553,939729,692,664158,59,44166,369211,59,2114457,3901,139731,0,0,100249,0,16336,1364783,2256075,929638,350726,1634033,8195110,1373802,28608818,2484926,691721,6868010,43885492,3830300,22786871
29381,392015,2820818,2335416,0,1367400,0,2023137,0,127666,6605,60,792123,3875,71097,0,60,50970,0,6937,663238,1096483,164129,75703,848209,4222481,760917,16394163,3090965,876233,9836129,71231356,8317409,4784989
37,26112,98712,34951,85,6847,0,12583,870,1860,7719,0,34178,720,3483,0,0,3063,540,420,24009,229667,541486,193987,2924444,123797,17794,407805,90262,31993,291003,6894450,738106,1625126
64,4951,64106,24627,0,6667,0,10691,2402,2638,7630,60,31687,1652,5165,60,1080,4233,0,510,160453,74538,14366,6180,103801,469813,47281,503321,71905,16333,160182,1499551,169179,159745
0,34247,99645,30241,0,7388,60,12435,30,1951,6847,30,33035,690,6021,0,0,3363,0,480,111814,21000,11721,2904,28325,129493,18116,417598,70042,24337,210512,3701324,392174,794542
14404,59245,2109681,1351453,41697,413977,1908,497139,0,59810,342948,0,1859898,9548,85573,30,5919,159310,120,12445,504704,1066434,1630839,225573,6898088,3167807,448391,10202364,1954818,418510,5793409,36405564,3880225,9409138
13958,33349,2029998,1205996,48742,69321,131,251156,2962,23021,216803,120,1385515,7046,75800,0,238,54418,30,18110,636239,1186780,566790,4238,1347590,2217950,355720,9699719,3628465,966187,10568854,40765929,3950560,11717332
14085,12955,1935290,382146,57587,327088,3299,582296,90,33295,297316,30,996746,1050,101778,0,3709,48039,29,4450,717552,1373788,76893,203435,3303719,4615367,648056,10282997,2650911,557454,5558195,26669187,2722012,9110044
7641,12805,1665438,817614,75664,385555,30,415272,0,38905,192383,30,608092,3227,96671,0,2839,128231,0,5231,1143562,1589857,56152,8845,883253,3673343,617151,14148941,2240769,554914,5012491,20809385,2098462,7499042
14109,27144,2147051,1224379,34960,188143,0,170484,1135,14788,110376,480,1406885,8237,166804,0,497,98395,0,10029,607250,1392258,572665,3492,5319895,2822610,295472,7140924,1927929,650328,10009335,39256960,3859525,11292121
12740,9607,1897308,23779,953,122521,1835,566385,458,50287,241732,460,1300336,1054,78996,0,29,58602,891,8766,263586,620236,195829,6432,316183,4124705,619950,13764967,3450231,661345,7045508,29773415,2975304,8884013
