decode.lcp,dsb2mite_switches.penalty_cycles,frontend_retired.any_dsb_miss,frontend_retired.dsb_miss,frontend_retired.itlb_miss,frontend_retired.l1i_miss,frontend_retired.l2_miss,frontend_retired.latency_ge_1,frontend_retired.latency_ge_128,frontend_retired.latency_ge_16,frontend_retired.latency_ge_2,frontend_retired.latency_ge_256,frontend_retired.latency_ge_2_bubbles_ge_1,frontend_retired.latency_ge_32,frontend_retired.latency_ge_4,frontend_retired.latency_ge_512,frontend_retired.latency_ge_64,frontend_retired.latency_ge_8,frontend_retired.stlb_miss,frontend_retired.unknown_branch,icache_data.stalls,icache_tag.stalls,idq.dsb_cycles_any,idq.dsb_cycles_ok,idq.dsb_uops,idq.mite_cycles_any,idq.mite_cycles_ok,idq.mite_uops,idq.ms_cycles_any,idq.ms_switches,idq.ms_uops,idq_uops_not_delivered.core,idq_uops_not_delivered.cycles_0_uops_deliv.core,idq_uops_not_delivered.cycles_fe_was_ok
27856,118748,4516697,2109062,96958,1010125,0,677194,29,42762,376930,29,2094965,2383,134871,0,30,95791,0,13085,1270055,2066209,797222,344379,4386739,8184604,1361727,28293462,2455677,684815,6824291,45583756,3972335,23780788
27181,122916,4444163,2117921,99360,988716,0,685376,150,43203,373351,30,2106910,2269,150624,0,0,96201,0,13030,1311119,1982425,322664,147828,1704532,8211300,1365740,28451376,2452922,681179,6780719,43241770,3782270,22717736
27749,140495,4487354,2091167,100317,985325,0,687863,90,42496,383636,59,2106574,2338,137337,0,0,106101,0,13397,1250863,1925540,298928,141795,1551234,8097492,1364972,28431911,2471854,686024,6820830,44475430,3858207,23353176
27795,118945,4487148,2081903,98020,1027191,59,696315,60,44749,381257,59,2031655,2758,134141,0,510,95107,0,13460,1252064,1981912,838025,360614,4494125,8218368,1373166,28509107,2462347,681921,6792182,43522586,3784437,22950005
26588,136413,4480585,2098665,98570,1013947,0,686522,0,47338,378165,29,2073702,2497,136319,0,0,95417,0,16309,1267789,1963377,298965,148333,1675769,8156955,1373521,28485705,2466015,682402,6785861,44632888,3877698,23454842
28521,121200,4497548,2132753,106284,1058470,90,707067,30,49102,392503,30,2125199,7131,144388,0,60,109900,0,16912,1398229,2040622,304574,367880,5483803,8159160,1353769,28480589,2456105,680982,6799561,44237710,3922140,23030476
28324,116974,4479607,2129865,95327,996930,0,681704,30,42326,427757,89,2043101,2016,139617,0,0,96610,0,13061,1301601,1965499,328647,154553,1718897,8073010,1361315,28333351,2455114,683240,6799520,43510149,3800153,22801620
26540,130438,4475054,2108790,100259,1041891,0,702125,0,45393,375482,0,2061971,1923,135418,0,209,96688,0,13758,1308740,2002736,312007,149420,4569573,8163986,1364975,28523803,2470059,683279,6782146,44769805,3897237,23374045
28424,118552,4419642,2125494,97414,990599,0,702983,89,43508,377328,30,2076979,1824,137470,0,30,106206,0,13761,1317764,1972358,287537,145955,1671578,8145591,1371952,28476204,2463609,681538,6788898,43351825,3758124,22789385
27513,131593,4521256,2133245,95284,1013955,0,690353,30,43017,366551,30,2115209,2427,139894,0,121,95471,0,13538,1304545,1970146,311487,145095,1560352,8221672,1383527,28813803,2469645,683842,6816860,43606294,3960734,23939520
13331,58703,2282604,1103113,49270,498952,0,936568,0,127075,542081,0,2036590,10022,254428,0,322,474047,0,139627,2438960,3326130,1554326,600080,1954146,6213526,785152,14715780,1264348,349570,3514172,22716063,1994410,11603819
0,49986,136787,28050,0,28291,30,209243,512,1742,7266,0,32917,720,3423,0,84,3484,0,420,22474,20378,7747,50077,796636,197331,25479,411618,68632,16254,150244,1473682,173642,1175635
117,5335,68446,47033,1621,7819,3072,11831,141,2372,6156,30,32434,570,3483,0,180,3093,0,360,332901,291389,546536,198657,22243,120753,26897,661221,93023,25154,156642,2099136,280078,256538
50,8410,67752,26455,0,7413,1261,218392,90,1982,6186,0,32370,5615,3844,0,30,3063,0,450,21227,46693,6936,1357,26600,125010,20499,459731,72953,17651,150976,1410951,201517,220760
10685,147151,1311174,721929,23606,413282,4833,370127,777,37156,226086,29,1674528,9659,149019,0,270,101103,0,34770,1173857,1882245,2210015,19071,8268525,4073643,476368,9280940,1582618,361915,3929028,31336486,3864095,5625500
13878,11541,2052332,704927,11165,91811,301,573513,750,50151,333227,58,1136647,721,101958,0,0,83770,33,12854,823841,1108338,1033650,217234,973022,2228398,402449,12354647,3793849,948449,10613423,36520713,3380980,9450397
9340,19291,1532192,1044978,106691,604135,116,483682,60,26605,165253,30,1237830,3577,90631,0,538,41670,240,4236,657202,1408919,59772,2787,269976,4165448,542026,11613108,2432242,585588,6691196,30380139,2753559,7910326
7513,8969,1851039,766717,66082,360750,0,426588,29,42895,139486,30,566936,3440,91519,88,2118,116355,0,3240,826390,1482000,670015,170337,4458592,4177260,589131,11606425,1493945,293453,2416091,12701293,1591688,7140532
14804,16132,2088155,1305026,49580,243900,751,203348,2540,28566,230595,208,1395609,6513,83011,0,60,59908,0,14183,787258,1426084,809460,4010,2269694,1774909,127440,5263126,2504740,801828,11382255,43750913,4176799,13611278
13253,24701,1870162,309834,52826,309312,2973,550838,61,26452,300892,59,905301,3906,104312,0,0,74290,0,840,90073,111873,41708,238531,3056517,3763391,645443,13241162,3780937,793105,6866192,30650652,3128693,9508362
7727,13644,1575989,1219889,55388,533217,0,238682,60,44089,377037,0,1347138,2658,50730,0,5203,69692,0,5908,1099243,1941513,80634,11729,459035,3307929,580125,12964867,2360274,611645,5394019,23331644,2054043,7544492
15233,38874,2052735,1334657,49055,420145,0,420210,89,22520,127644,301,761997,4520,133239,0,59,63541,0,8166,524259,1125106,466924,4219,5252339,3383229,364823,6637180,1559372,501551,7898370,34879474,3801262,13400669
12568,10018,1804348,660337,24814,142990,60,40383,29,19801,173952,716,727070,4684,10601,0,60,43838,930,7736,444947,581401,278973,2986,341927,1581103,472195,14160137,4948938,969877,8446603,34159793,3308980,8277694
0,15897,97924,41923,1142,15715,0,17145,60,2913,5374,60,29342,991,3333,0,60,4624,0,600,29182,31087,3483,1353,15033,149553,20945,486768,90458,22190,201681,1745077,405524,812106
50314,812286,4740726,4135011,6723,1555802,11696,417442,260,49731,262889,0,1561472,11177,134119,35,4070,215989,208,13057,564796,897013,1378042,187752,7702726,1885725,338527,10875913,2268649,800248,11780639,107582653,12410399,13286644
51879,783465,4894589,3498249,17939,851227,24378,2099843,849,159038,562091,0,1866111,17189,345953,0,183,365380,0,144127,2517930,3250677,504385,248667,2601217,9520127,1285037,30499729,6991330,1764880,19820165,139018695,16615781,12818877
57082,721830,5126856,2929204,23139,1158068,2666,1472503,237,223422,1117749,0,3406296,21656,536340,0,119,455307,0,139098,2547005,3305678,505778,252383,2538083,9532561,1275806,30058169,6939967,1730878,19387367,137668241,16269423,9747968
19384,414330,2599591,32722,0,48029,6670,15064,2582,95565,295699,150,1770274,17680,238524,30,1291,289700,2402,71647,1728269,3237653,12365029,5606284,57554318,6702411,949860,21480883,3513642,859391,7687716,65742729,6833684,19906745
64213,393613,2727850,1468274,16399,234046,14698,1006252,2136,26413,206027,295,1884223,8585,171859,0,1127,21421,179,7586,548330,1131307,1745922,598391,12024458,7114076,983163,20822792,2433963,610506,10566419,97596610,10047449,11965904
13746,200827,1898122,798698,16742,287445,90,78974,750,38774,305427,0,1173967,4324,75226,0,3565,53749,150,38891,724608,668369,47924,37895,393986,1861711,259403,2932958,1054940,456382,5839244,39641669,4075313,15627575
129415,491461,6418131,5066672,64174,2180089,29,1869484,1746,276369,1159734,1839,3483561,74332,506308,0,4163,438458,0,119087,3625986,5261179,834807,513292,4064292,11315556,1597920,36528558,4935329,1356558,14145740,139537856,16682933,17273612
101474,477826,5725375,4807335,2580,2527643,0,2163171,1989,320144,1065881,1807,4078956,39668,454885,0,2974,391178,0,121096,2855575,3917452,316304,130356,1459093,10187721,1406673,32514549,5148850,1352190,14438265,126831441,14896452,14660760
29350,327766,2854918,2284395,66116,772479,0,851665,0,126238,559968,0,1675938,44303,279838,0,1863,241981,0,70453,1849646,2720039,684443,251525,711291,4812385,684743,15385645,3472013,883301,9933491,78339627,9377441,5543539
29589,325727,2853293,2282611,67111,764579,0,993927,0,123288,586690,0,1663078,44098,295200,0,868,241583,0,69015,1802232,2459869,156587,43113,639137,4801676,681977,15289062,3525291,880963,9989333,77329310,9301184,4900418
29371,329736,2851707,2324371,69002,770967,0,867531,0,123337,588409,0,1640342,40979,289006,0,123,249205,0,69132,1796162,2486966,154425,42494,638090,4819037,688494,15508137,3515357,892100,10044110,78287143,9376215,5430942
29373,321887,2826608,2296410,68935,734204,0,869144,0,119958,579712,59,1669430,43384,288107,0,1111,243680,0,68272,1827026,2524443,639775,234866,2031034,4823448,684837,15399394,3528227,881133,9991207,77194632,9268065,4771416
29239,338976,2834131,2323957,70564,785645,0,1000856,0,124211,588452,0,1671839,43416,298971,0,480,254053,0,68551,1807156,2612727,174409,62353,770579,4700062,654146,15089071,3502657,886238,10000052,78495410,9397277,5508749
29556,352635,2809349,2238806,70471,763338,0,882808,0,125973,588170,30,1665124,42987,299863,0,632,248970,0,68908,1804467,2747290,730224,274512,4494632,4754418,647734,14991274,3511635,888308,10045632,78901462,9517772,4872062
29348,359231,2820098,2269324,69362,748778,0,878059,0,125561,579157,0,1654104,43374,294906,0,2312,258202,0,66887,1785676,2715218,193116,78756,919378,4692955,646888,15097114,3520393,886634,10006805,78238580,9483397,5557492
29337,365570,2813525,2275768,70482,781741,0,858314,0,121756,584772,0,1602772,41278,301120,0,841,259882,0,68248,1808786,2744617,192753,275468,3769600,4742099,647519,14950093,3495983,884456,9970395,78611541,9481082,5504031
29355,351369,2804331,2270400,70463,742449,0,871052,0,128355,626139,0,1642454,44075,295402,0,1374,253705,0,69080,1822179,2790592,194849,83330,924750,4728300,645672,14985605,3490733,882363,9970624,78074147,9475960,4983178
29345,362493,2844534,2352783,68674,762174,0,860761,0,125141,580030,0,1635681,44316,288867,0,1466,246607,0,69171,1828095,2795169,193878,80091,3731510,4744801,650189,15202563,3530208,890567,10001767,79907778,9617490,5955865
29537,357756,2814754,2291544,70768,778622,0,875600,0,122309,588348,0,1659617,43883,295714,0,1179,260351,0,68924,1837925,2779117,196413,82384,925462,4689814,644393,14974420,3504572,891091,10040273,78697439,9537210,5002205
29287,363936,2812595,2269092,66918,779112,0,873642,0,121904,579652,0,1605922,45490,302424,0,1077,256181,0,69800,1817104,2793310,195047,82314,932694,4702946,646650,15019736,3511779,885339,9959485,78996012,9548971,5529357
29313,353121,2776277,2268572,68605,770873,0,869992,0,126793,584834,0,1678435,46360,299298,0,895,258475,0,68403,1838476,2817038,194516,82609,914495,4736312,648215,15167419,3526365,886680,9899848,77923234,9490742,5046231
29379,351617,2818101,2244477,68213,764772,0,867731,29,125169,571677,30,1967710,45759,291391,30,1498,252131,0,69453,1831950,2761407,193628,83424,915506,4740150,648112,15101217,3523138,888553,9940502,78351018,9529876,4876183
29299,364669,2807944,2274728,69896,775371,0,875607,0,124900,583636,0,1671382,44222,292855,0,1558,253329,0,68859,1853670,2770311,195932,82489,913960,4660151,650502,15136779,3485393,883838,9979579,78365892,9510770,5538061
29328,354170,2812585,2264517,67902,767116,0,995308,0,121257,592184,0,1728229,43646,285500,0,902,251858,0,69525,1848076,2837120,746310,286345,931430,4739190,649481,15068815,3484058,880911,9907327,77865050,9477513,4836554
58562,359684,3436743,2336353,70028,752270,0,862251,0,127334,571398,0,1670870,43343,293066,0,1546,245088,0,68054,1814279,2629218,158487,47262,655811,4804166,747017,20836672,4321895,1187313,12835416,113854828,12909034,12191971
29397,326813,2832137,2309551,67159,767803,0,868769,0,125602,556980,0,1667789,43074,292142,29,1277,247396,0,68557,1826589,2677416,681266,241557,3466915,4799983,683531,15362213,3537801,888739,10044180,77956073,9382788,4967239
29532,334175,2860417,2317482,68627,775641,0,843284,0,121816,579613,30,1663948,41997,287442,0,1216,237558,0,68852,1818739,2572708,155750,47565,642023,4785789,675228,15222159,3480798,879491,9904425,77160191,9331358,4859905
29225,329388,2833383,2281631,69887,781658,0,870990,59,126777,581241,0,1656803,41193,294408,0,1003,237532,0,70407,1829426,2605843,967244,314550,3855734,4818347,677717,15276787,3506152,882059,9902347,78073367,9367877,5465821
29431,319338,2831598,2332673,70100,763589,0,874160,0,127773,590811,0,1671619,40462,287936,0,1770,241299,0,69645,1846944,2631037,156372,48514,644653,4794664,677400,15256867,3526623,883638,9967508,77651492,9372242,4934612
29126,331271,2831407,2348415,65832,765871,0,867141,0,126607,574253,0,1693206,41837,290073,0,1874,243666,0,68497,1834546,2644247,155762,226238,3459085,4779165,677461,15260795,3511536,886523,9921442,78032775,9379021,5444727
29372,344118,2816504,2306802,70273,783460,0,865755,0,128127,627497,0,1674550,41171,296354,30,1482,252621,0,68607,1847214,2917353,193091,82820,922911,4752316,643233,14914230,3428294,864173,9804881,77503902,9417947,5053946
29278,365461,2807661,2279728,67345,775604,0,874247,0,127906,588788,0,1689628,42682,299014,30,1779,262908,0,66843,1802545,2803257,191916,82226,918612,4691860,646063,14973867,3505970,885023,9967921,79429168,9602979,5615222
29242,359216,2790266,2270565,68391,783308,0,868475,0,126475,587885,0,1697054,42438,291961,0,1027,255121,0,69049,1851127,2915975,191670,82703,924886,4784204,653876,15193440,3501097,888084,9928131,78256930,9499941,5107229
29135,365790,2789954,2285925,68882,775463,0,885054,0,128452,580530,0,1983497,43712,300393,0,1094,252873,0,69334,1827848,2846925,194182,83761,926670,4760131,650962,15065171,3509569,881862,9946550,78348967,9504315,5530869
29502,356289,2822038,2235713,70456,782882,0,875384,0,126987,587298,0,1688052,42805,304227,0,681,255067,0,70059,1847575,2929880,722402,275842,923073,4734723,656145,15338840,3524036,892518,10016128,78808834,9574753,5111303
29401,356817,2796180,2284434,67894,767744,0,902653,29,128222,590706,0,1695496,42016,297665,0,2370,258365,0,68908,1842242,2849905,193110,83010,920499,4721643,644288,14950087,3497656,883823,9920833,78501984,9530565,4977977
29072,362066,2784602,2258639,71138,778470,0,867823,0,129950,593333,0,1624046,42394,314427,0,1072,261131,0,70727,1863504,2911825,193791,81535,909277,4711403,645868,15057195,3473748,877333,9833702,78628307,9506378,5639735
29357,355203,2826424,2282763,67921,771408,0,864669,0,125132,599903,0,1677909,43656,301027,30,1010,253738,0,70823,1875801,2906657,720134,276219,3766173,4737507,647746,15019667,3507231,883357,9977644,79789549,9689155,5571955
28890,379963,2801593,2305377,69500,798829,0,875446,88,124415,604350,0,1680823,44987,305430,30,1198,256824,0,70627,1849369,2765412,193218,81284,914367,4736911,648899,15131347,3520283,886250,9900347,79256617,9584764,5781587
29580,356059,2806445,2265204,68908,797035,0,865994,0,127954,592540,0,1684704,43243,302565,0,630,253877,0,67710,1848699,2801339,859602,353285,6136682,4794555,643420,15046308,3532500,886436,10018087,78751419,9558471,5034512
29443,358068,2811801,2302176,70344,796175,0,870318,0,126114,591803,0,1635602,43606,292947,60,482,255747,0,68725,1849102,2744104,196048,82917,926906,4728195,645256,15071989,3503989,882149,9948266,78076266,9469888,4970065
29192,349276,2813168,2287851,67721,774432,0,885677,0,123103,577593,0,1696021,41150,445555,1111,2709,339876,0,68850,1829557,2776564,192983,164151,3557045,4788307,652669,15124185,3530547,887598,9900103,78305948,9423298,5406919
28930,349085,2761039,2188844,66911,776518,0,877414,0,127325,643122,0,1668598,41023,297341,0,993,251063,0,67755,1827089,2761775,190492,82361,915422,4731474,650713,15176463,3520605,880578,9860078,77474773,9376163,5045344
29073,364270,2816606,2232822,67431,801041,0,865367,30,129064,596283,0,1687192,42254,308087,29,1353,253111,0,69109,1851841,2913129,191581,83231,918939,4749031,651245,15003033,3486802,884586,9994417,80024596,9595466,5780894
29455,356663,2803588,2285507,69339,797864,0,879646,0,128315,603337,0,1902020,41545,310507,30,2072,253081,0,68644,1879342,2959698,193726,83577,925839,4792925,650741,15129634,3509210,886212,9972552,78563548,9571898,5135493
29338,368181,2830927,2299287,68064,776731,0,879265,0,127887,582138,0,1624221,43571,300583,0,990,255538,0,68819,1842299,2800565,173666,65185,782879,4719560,658441,15098354,3516611,886348,10035713,78895871,9571904,5540740
29075,361636,2797712,2333152,69582,750737,0,876403,0,126218,584597,0,1626008,43264,295534,0,1072,248698,0,69042,1820853,2784999,669593,239577,645764,4824592,683878,15383567,3503037,883460,9910988,77181649,9340230,4914940
29639,364314,2865336,2310996,67368,751542,0,937294,0,127466,591643,30,1685509,44097,292021,30,926,251245,0,70177,1850294,2697218,155262,47728,646625,4820085,683662,15448042,3556784,891582,9994138,77819663,9419677,4876423
29257,372370,2844898,2320013,68480,765337,0,867367,0,127324,580179,0,1639890,41767,293483,0,391,248952,0,67457,1824412,2751927,154224,47303,634232,4767736,676185,15279460,3469299,877382,9876257,78155795,9419004,5456723
29573,365510,2839270,2310526,67814,773583,0,867261,30,123720,579437,0,1688503,41444,296661,0,839,246470,0,69092,1829654,2764454,688890,222294,3465425,4798650,678919,15355604,3514192,887907,9999634,77899232,9416239,5069145
29347,384648,2855500,2317450,66010,774208,0,869771,0,128943,583247,0,1633719,41945,292902,0,1982,250278,0,67708,1809631,2695658,155590,47774,645868,4780549,677549,15236322,3512291,881809,9919898,78335207,9434044,5483824
29334,361102,2834154,2281648,69427,772582,0,872682,0,127387,584986,0,1690232,43377,292493,0,755,250855,0,69847,1823561,2664200,686511,231984,3474403,4856419,677989,15261906,3490425,884033,9972407,77889019,9410115,4864092
29438,357416,2842756,2322461,69427,760778,0,874567,0,127121,580732,0,1640826,42308,297087,0,621,253149,0,68524,1815500,2620270,155923,46924,640332,4795483,687816,15449054,3514251,878162,9879491,77105129,9320470,4805334
29371,361612,2831336,2241357,68890,772067,0,881441,0,123663,585278,0,1962223,42297,301863,0,1059,250765,0,68106,1790690,2760360,192094,82327,3775562,4721510,646430,14957928,3480958,878938,9912198,78544066,9502652,5442206
29408,350068,2815855,2302449,67291,772880,0,888309,0,124022,659793,0,1674096,44321,299094,30,1135,252586,0,68033,1776682,2697533,188040,81124,890529,4738544,647676,15055287,3483183,874821,9888102,77581175,9433518,4889461
29225,379077,2842677,2298542,69833,771893,0,889088,0,124851,590863,0,1683406,42531,294933,30,597,256114,0,67000,1801982,2790758,193975,82357,920496,4784326,648841,15122597,3503045,886144,10034521,80527023,9662684,6295952
29562,355056,2810853,2260870,69445,774122,0,870384,0,126705,589664,0,1935880,44466,297841,0,837,256739,0,67953,1811248,2821041,192280,81713,915098,4736668,650060,15156844,3530509,882801,9951532,77769183,9450187,4915996
39167,397388,3684799,3439680,94960,761902,0,875131,0,125569,582530,29,1672230,43725,294402,0,1023,252756,0,66926,1810115,2740988,193042,82222,916697,4670590,634272,14756089,3444755,875795,9902067,77687428,9409967,5520883
29372,321805,2802678,2264404,69494,764457,0,874553,0,130035,571141,0,1691982,43895,302189,0,1817,257063,0,68786,1815077,2810037,727286,271172,959910,4733229,646814,15105321,3488420,878367,9879207,77229324,9386433,4974102
