decode.lcp,dsb2mite_switches.penalty_cycles,frontend_retired.any_dsb_miss,frontend_retired.dsb_miss,frontend_retired.itlb_miss,frontend_retired.l1i_miss,frontend_retired.l2_miss,frontend_retired.latency_ge_1,frontend_retired.latency_ge_128,frontend_retired.latency_ge_16,frontend_retired.latency_ge_2,frontend_retired.latency_ge_256,frontend_retired.latency_ge_2_bubbles_ge_1,frontend_retired.latency_ge_32,frontend_retired.latency_ge_4,frontend_retired.latency_ge_512,frontend_retired.latency_ge_64,frontend_retired.latency_ge_8,frontend_retired.stlb_miss,frontend_retired.unknown_branch,icache_data.stalls,icache_tag.stalls,idq.dsb_cycles_any,idq.dsb_cycles_ok,idq.dsb_uops,idq.mite_cycles_any,idq.mite_cycles_ok,idq.mite_uops,idq.ms_cycles_any,idq.ms_switches,idq.ms_uops,idq_uops_not_delivered.core,idq_uops_not_delivered.cycles_0_uops_deliv.core,idq_uops_not_delivered.cycles_fe_was_ok
26742,111107,4545964,2120590,101901,984632,0,698869,0,44470,375544,0,2147025,4982,151614,0,0,101116,0,16106,1398684,2316526,848254,328765,1605784,8189312,1376482,28678524,2490694,686817,6783488,45829057,4031778,23236483
27175,108652,4473246,2120319,101269,965505,0,869081,30,45342,383500,59,2126581,6723,149542,0,30,101427,0,14519,1362685,2298505,276112,140890,1625625,8248408,1376539,28218769,2423625,666854,6751538,44153315,3895898,22392877
26874,118013,4471059,2105380,101192,945201,0,701270,0,44335,390527,0,2121712,4943,145938,0,0,102518,0,15259,1344390,2312938,303740,146505,1626900,8220761,1372368,28486465,2457481,674556,6743493,45175677,3988480,23123074
27746,112570,4483046,2109243,103121,943390,0,700967,0,44835,390334,0,2142344,5327,146283,0,60,107387,0,18716,1320314,2366516,836514,334154,4424373,8225775,1381105,28743961,2475914,678807,6789448,44675107,3942278,22517888
29604,133066,4506584,2135723,99188,960318,0,693548,180,46641,390329,0,2106724,4141,149782,0,30,99612,0,14122,1330579,2295483,300723,139223,1508421,8135357,1365419,28391428,2457421,679952,6834447,45992024,4044656,23275255
28183,109503,4488658,2117995,100683,975690,0,698995,60,46345,384234,30,2153101,4322,145067,0,777,109338,0,13846,1333277,2232750,277170,385634,6292705,8237548,1372354,28627420,2457422,671319,6815628,44270043,3875361,22663066
31207,112286,4504989,2127796,100924,975991,0,697645,0,45673,441458,0,2117015,4347,159676,0,60,103013,0,14363,1305676,2266251,324841,151247,1695575,8113339,1365878,28604614,2468275,679042,6829627,44752692,3965366,22619366
26874,122903,4466403,2071752,99117,966005,105,711889,0,43571,384838,0,2067118,4081,145754,0,211,104750,0,14027,1320810,2230452,309560,141541,4490808,8200069,1368862,28585727,2459006,673934,6770339,45930748,4056460,23196855
28618,112371,4461152,2182861,100371,965976,0,704997,59,44335,386384,60,2129530,4009,145453,0,29,111296,0,16223,1325715,2277277,306009,149055,1660360,8230881,1380995,28613625,2471656,682475,6844851,45191392,4020276,22607188
27996,130026,4562305,2172745,96882,980321,0,704353,0,44995,387932,0,2117866,4377,151221,0,30,109018,0,15991,1308501,2278190,291467,140432,1642625,8196906,1374157,28685711,2475210,679444,6842881,45255873,4209252,23354148
