cycle_activity.cycles_l2_miss
22945
23279
22917
22872
22698
22686
24154
23024
23530
23065
24055
23371
24083
23972
24309
23101
23256
24296
23340
22368
24518
23779
23852
22626
22331
23665
23077
22932
22998
23202
23418
22728
23351
24224
24230
23539
23377
23758
23789
23425
23929
23463
22384
24454
23581
22713
22299
22999
23323
23798
23761
23457
23936
23341
23840
24044
23876
24206
23377
23059
22770
22849
23323
23914
24146
24440
23611
23357
22283
23864
22477
24463
22498
23515
22553
24026
23911
24296
22855
22259
22463
22712
23756
22983
23976
22470
23132
22578
23311
23548
22546
23928
23210
22824
23473
22788
23713
23569
23731
23585
22380
23077
23587
23281
24462
23042
22590
22668
22907
22362
24392
22333
22860
23599
24290
23548
24089
23902
23106
22188
24095
23988
22440
23566
22500
23606
23719
22680
22307
23527
23637
24235
24180
24454
23377
24410
24140
22500
23016
22380
24240
23385
23641
23942
