cycle_activity.stalls_l1d_miss
22930
21565
21851
21822
22483
21482
21155
22786
22003
21779
22746
22693
21923
23058
22987
23155
23149
22780
23023
22356
22987
22950
22265
22806
21953
21875
22386
21106
21766
22867
22422
21664
22398
23082
22525
21046
22770
21641
21376
21577
22007
21982
21341
22290
23029
21358
22766
21419
22667
22266
21676
21641
21803
21824
21545
21299
22596
22614
22170
22566
22470
22319
22083
22836
22754
22133
21443
21629
22524
22295
22069
22394
21455
22776
21261
21602
21342
21389
22737
21578
21568
22067
22644
22572
21070
22650
22554
22128
22848
22680
21411
23017
22633
20999
22928
21982
22632
22200
21053
21515
22212
21645
21651
22284
21125
21395
23107
21341
21652
21431
21437
22727
21821
23124
22508
22500
21189
23016
22542
21311
21867
22050
21297
21917
22486
22517
21696
23052
22081
21695
21695
22242
21875
21623
22086
21701
21785
22026
21491
21617
21785
21202
22590
22740
22873
22363
21406
22492
23076
21652
