br_inst_retired.near_return
61252
64205
66073
66172
61460
64561
64108
66748
64245
66781
61669
62506
64203
65214
65769
64874
65210
66783
65942
66587
67143
64507
66739
63737
65317
63259
63659
64841
64806
66202
64575
64944
64522
65415
65214
66677
65039
65097
65053
65237
64757
61561
66942
65208
64797
67172
64248
66638
65280
64361
64941
63862
64293
65056
63449
63329
65067
65359
64931
65103
66398
64578
64672
67022
66829
64939
66847
66881
64652
66154
62035
64875
65737
63684
66709
65460
65145
65365
65135
65127
65359
64788
63359
66095
64976
66252
66187
65353
64688
65373
64951
63680
65145
64457
63151
65464
64950
67020
67091
65393
65886
66930
67113
65187
65577
63427
64913
66507
65489
65345
66652
64901
65074
66588
65279
64912
63538
65455
64787
61209
64929
65112
63891
65211
63768
65230
62028
65363
66995
66076
66074
65598
62138
65542
65530
67192
64370
64584
65369
64585
66728
64498
65597
62197
64386
66548
64750
65126
64596
64546
63599
67284
65659
66138
64747
64224
64870
64658
64621
63010
65941
62422
65947
66955
63351
65858
65594
65563
66068
64271
66462
62986
64251
63076
65433
64986
63891
63440
62930
61165
63388
63021
64224
62186
64230
66646
64066
62826
61981
62517
64910
63086
65919
66069
65055
67331
63031
64542
66913
67332
64497
67260
65048
66164
64740
65282
65276
64896
63157
64546
64445
67343
62897
65222
64755
64753
65423
65571
61588
64946
65861
65854
64803
64887
64190
65075
67451
64533
64826
65978
63302
65549
67127
64234
65117
66924
66870
65165
67046
64855
67132
61682
64968
66841
67107
64506
67047
66672
63422
64646
62752
64628
65073
65143
64020
66112
64155
64944
65345
65942
62332
65752
61427
66407
66768
64241
65123
64490
64591
65189
62784
65511
61963
67008
64435
66022
64632
66108
66427
64938
65345
65525
65455
61483
65034
64480
64277
63510
65715
66842
65497
65125
64779
67131
67386
66472
63300
63740
62800
66164
63633
66331
64417
64860
65803
63520
64454
66113
64408
62559
65288
65702
64064
63627
66184
64169
63569
63279
66128
64278
66438
62855
65743
67413
63307
65007
64571
64809
65035
67317
62809
63431
63531
66082
63929
64593
65906
62930
63817
65987
64690
66914
64561
66983
65753
64544
66537
65478
63054
62736
63471
63313
64279
62583
65427
64161
66600
67369
65180
61818
66789
63080
65959
63651
63067
65024
62944
67039
63461
64429
61661
66979
64172
64632
64096
62728
64183
65684
63017
64584
63188
63033
65028
65691
65242
63554
64247
63307
63505
66218
67437
63360
63071
64556
62998
63375
65281
65064
63241
66687
66364
63272
66049
66756
64666
65944
62934
63301
63095
61699
65154
63120
67364
63572
64127
63372
63181
64419
65764
65876
64117
67485
61907
62832
66908
63543
64242
61852
63000
66685
61909
63286
62839
63483
64350
65840
63708
64305
66656
64481
64230
61577
63543
66884
65925
61361
62685
65773
61911
61980
62265
64631
66232
