Value
10680
10426
10574
10414
10682
11331
10934
10612
11069
10578
10546
10835
11033
10977
10962
11111
11387
10795
10696
11308
10822
10688
11003
10735
10932
10416
10557
10729
10636
10917
10607
10440
10451
10344
11099
10963
11287
10834
10939
10717
11011
11093
10757
10711
10954
10830
10330
11205
11130
11296
10990
10978
10827
10333
10949
11028
11046
10699
10650
10895
10450
10379
10970
11225
11277
11309
10856
10881
10888
10578
10585
10982
11240
11000
11146
10816
11052
10545
10783
10790
10682
11309
11193
10849
11176
11066
11132
10747
10882
10409
10973
10804
11062
10854
10743
11045
11260
10651
10952
10907
11017
11209
10881
10688
10893
11017
11075
