frontend_retired.latency_ge_32
2012
1891
2041
1982
1952
1982
1952
1982
1981
1951
1891
1982
1922
2042
2047
2072
1922
1891
2072
2042
1921
1891
1921
1921
1922
1921
1952
1922
1981
2071
1981
1982
2071
1921
2072
1891
1891
1982
1891
2042
2042
1982
1952
1921
1922
1922
2041
1951
1952
1892
1981
2012
1891
1982
1921
1982
2042
1922
1982
1982
2041
1922
2040
2072
2012
1922
1921
1951
1919
1982
2042
2042
2042
1922
1891
1982
1922
2072
2072
1922
2071
1892
1906
1891
1952
2042
1981
1952
1952
1982
1952
1920
2072
1952
1921
1982
2042
1891
1920
2072
1922
1982
2041
2072
1982
1892
2003
1951
1981
1921
2042
1982
2042
2041
1951
2042
1950
2041
1981
2042
1922
2072
2012
1951
1920
2042
2025
2042
1982
2072
1922
2041
1891
1951
2042
1951
2012
1891
2040
1951
1921
1982
2042
1982
1890
2071
2042
2041
1952
2011
2015
1981
1982
2011
1891
1978
2072
2012
1922
1952
2072
1982
1982
2042
2041
1952
1982
1922
1952
1981
1921
1921
1951
2012
1891
2012
1952
1892
2012
2042
1920
1892
2042
2012
2042
1981
1921
1952
2072
1922
2012
2042
1982
1921
1921
1951
1892
1952
2011
1922
2012
1982
1921
1891
1982
2012
1921
1891
2042
1890
2040
2012
1952
2011
1922
2011
2012
1982
1922
1951
1922
1952
2072
1952
2042
1981
1952
2072
2012
2012
1952
1982
2071
2012
2012
1922
1891
1952
1891
1981
1890
1982
1892
2042
2011
1922
2012
2041
2055
2042
1982
1921
1921
2042
2061
2042
1951
1891
2042
2072
2042
1921
1982
2072
2042
1892
2041
2011
1951
2012
2071
1892
2041
1982
1921
1921
1952
1981
2042
1921
2072
1952
1951
1921
1892
1982
1952
2042
2041
2042
2072
1892
1922
2011
2042
2012
1921
1982
2012
2042
1952
2042
1921
1922
2012
1922
1922
1891
2042
2042
1891
2012
2042
1892
1982
2012
1982
1922
1981
1981
1892
1892
2042
1952
1982
1921
2011
1982
2070
1952
1982
1952
1922
1921
1982
2072
1922
1982
2072
2013
1982
2042
1922
2012
1982
2072
1892
2012
1891
2012
1952
1982
2072
2012
1982
1980
1951
2012
2011
1892
1982
2041
1891
1951
1922
1892
1982
1922
1952
2012
1892
2042
1923
1892
1982
2011
2042
1891
1981
2072
1921
2012
1982
1982
1892
1892
1982
1892
1982
1952
1922
1922
2042
2012
1981
1892
1921
1892
1922
1990
1952
1981
2011
1922
1921
1892
1982
1891
1953
1892
1892
1921
1951
1966
1892
1982
2012
1892
1982
1921
2042
2041
2012
1891
1884
1951
1979
1922
1891
2012
1982
2042
1891
2042
1922
1952
2042
1921
2072
2042
1952
1892
1952
1952
1952
1952
1982
1922
2012
1982
1952
1892
2012
1922
2012
2012
1892
1982
1922
2042
1892
2072
1951
1982
2072
1922
2041
2072
2042
2012
1891
1922
1922
1921
2012
1892
1981
2042
1891
1922
1891
1922
1982
1982
1891
1952
2012
1921
1952
2012
1982
1981
1922
1982
1981
1982
2071
1892
1892
2011
1980
2012
1982
1922
