l2_rqsts.all_demand_miss
45460
43753
43466
42994
42350
42963
41750
43403
42313
42591
42297
42775
42867
44223
41625
42718
42145
41733
42152
42150
43389
42608
41276
43132
42539
41418
42455
41686
44671
45291
43382
43780
42683
41848
42016
41655
42610
42054
42262
41331
42752
42426
42747
42334
41587
42039
42165
43928
42175
45294
45129
45454
45538
45369
45396
44266
44503
44299
44925
44168
44581
45085
44427
41506
41351
41837
41307
42374
43885
42703
42117
41474
41663
41875
44551
44512
43486
42099
41638
41937
42541
45185
43370
42854
42187
44129
43547
45436
43876
45268
44991
44357
44315
43576
44429
43075
43436
44264
43913
43058
43352
45288
44300
44508
45249
43344
44762
42894
44328
45286
42420
43118
43785
43660
44292
43957
45016
44612
45472
41291
44764
43711
42068
42312
43431
42628
43394
43387
41833
43389
43078
42580
42288
43505
42758
44325
44966
43242
44367
45051
43703
42843
44930
44557
42638
43868
41821
43472
41503
42414
43093
45422
42775
41296
43778
41388
42772
41765
44849
41551
41970
41730
42682
41799
42178
43366
42322
44014
42847
42441
42841
43471
42726
43071
41649
42191
42431
42713
42770
42183
41383
43360
41840
42712
44024
42802
43203
41558
43380
42756
41686
42018
43510
42144
44015
43677
42851
43848
41343
45330
43140
42452
42125
42425
42201
41359
41977
42337
41435
42743
44978
45426
45133
45255
45393
45144
45051
45269
45036
45061
43800
44908
44587
44814
45296
45367
45078
44648
43856
44958
45537
44432
44384
44416
43401
45175
44400
44879
44853
45010
43895
44886
44004
41927
41618
42640
44022
43004
41835
45060
43753
42636
41530
41348
41770
42367
41867
42283
42312
42279
43287
42065
41365
42020
41368
42011
41884
41556
41529
42999
41665
41825
42247
41225
42292
41771
41603
42097
41774
42615
41296
41892
43517
41554
43546
41648
45376
42000
43882
42304
41291
42808
45124
43311
44309
41364
41850
41983
43241
43459
42163
42814
41320
42119
41955
42234
42782
42075
42209
41343
42742
41756
41234
41280
42354
43446
41680
42048
41596
42666
42476
42599
43252
41496
41709
41387
41312
41693
43935
41646
41736
42877
42348
42012
43813
44433
42470
43874
43267
44568
41618
44130
42218
42722
42007
43069
41746
42362
42720
42556
42205
42107
42158
44076
43767
43081
44147
42168
43669
43402
43037
43774
42219
42985
43789
43727
44242
42242
43378
43740
44746
43869
44425
43134
44725
43763
41899
43498
44741
45071
42763
42890
45233
43585
43200
42786
44305
42326
42841
43918
43290
43124
44527
44605
44911
45339
43504
43734
41658
43096
41964
41903
41368
42709
41329
41376
42811
45223
42299
43652
41948
41670
41951
42292
42336
43262
42542
41508
42748
42640
42967
41560
41978
42384
42404
43300
42182
43061
43574
42027
44127
45209
43172
42953
43812
41835
42470
42895
41632
41834
43570
43640
45267
43830
42003
44362
43221
42391
42689
43053
43569
42147
42165
42872
42905
41578
41416
42037
41977
44695
41762
41490
41465
41844
42248
41258
42979
42957
42230
42016
42082
41620
41331
41882
44325
41816
43493
41925
41486
41860
41692
41530
41296
43026
41782
41903
41337
42865
43785
42419
44952
43325
44147
41705
41979
43520
42289
42605
42315
41313
41626
41900
41948
42921
42532
42332
42413
41931
41955
41466
41889
45314
41756
45195
44266
45136
43962
44712
42987
42438
41796
42392
41289
41725
41983
42366
41332
41288
41628
41253
41632
43233
41872
41882
41234
41637
42071
41290
41391
42743
41305
44287
41993
41703
42084
