mem_inst_retired.all_stores
95420
95257
95128
97733
97566
94852
96938
98230
100850
102070
97516
98902
96084
96028
98016
99966
98805
100554
96456
96839
96520
95590
98170
96857
95569
101014
98208
96409
98005
96818
98007
97918
98014
99800
95661
95532
97036
95223
98053
101535
95859
96155
98498
97976
98781
101261
97854
96459
98909
99775
95464
96912
101576
98494
96000
96427
97940
98983
97576
97678
95205
99127
96680
96036
96117
94758
96049
99694
94250
98065
94486
98106
95038
97609
98553
96132
96319
99816
101634
98297
95899
95455
95864
99008
101980
102852
97076
100753
98094
95826
96948
96728
96529
98344
97593
95077
98969
97673
97040
96897
98542
101955
96717
103349
96484
96598
98851
98375
96700
96403
98147
96425
95456
97319
98117
95889
99310
101096
95960
98257
96335
100505
97946
103510
96480
97711
96220
98782
99248
97594
97020
98172
97669
100388
96236
96446
97118
101328
100825
103754
102913
100245
100210
99582
100964
101143
99643
99319
102274
99209
102812
99548
101963
103683
102696
100312
100059
96946
95047
99362
98142
95265
96209
100539
99207
96098
96287
97688
97705
100149
98568
97160
95581
97638
95938
98846
100548
98731
98047
94418
98279
97735
99864
99718
96213
98180
95050
99622
98911
100736
99525
96523
96542
99009
98889
99552
98902
99088
97958
98643
95452
100724
100772
97868
97986
95585
99389
99944
99002
102652
102640
99523
101573
101519
98616
99542
101367
102170
99531
98460
100691
102520
102240
99591
99956
101552
99077
99904
99027
99679
100867
101375
101491
98003
96358
97123
95698
95487
97806
96982
97871
100855
96904
96766
99593
98958
98953
96518
95464
100578
97553
96796
96489
98156
103039
99670
98420
100343
97175
97920
96270
101152
96130
94751
101009
99168
96169
96492
94537
97681
97558
102009
99048
96056
98469
98937
95130
98174
100505
96318
95318
95211
97452
99325
95873
100161
97237
102670
97217
96696
96061
95900
99267
101532
99318
96295
95406
99037
100941
102743
96033
96200
98664
99144
95512
94231
95455
99140
97111
98514
95472
95306
98360
97103
100211
97603
98906
100995
94243
96374
97774
97864
95893
96376
95094
95335
101065
100136
96591
95349
99405
95910
96741
99552
97328
95041
95339
98933
99556
99701
95943
97051
96687
99075
96200
97201
95387
99147
101124
96658
100612
95076
94366
98368
96292
98321
96706
98143
98820
97996
101513
98800
95852
95900
95704
100007
96331
95354
98445
99114
97637
98760
98131
98781
99357
99111
95568
95715
96294
99497
99177
95846
98890
97624
103230
96562
95521
100183
95655
96454
97151
99365
100367
97928
95331
96047
95935
98186
96540
98611
98183
98153
98967
95366
95507
96332
99174
94136
97647
96141
96576
97737
95054
102517
94606
98130
96497
99754
100440
101236
103170
100218
102489
100727
97033
102380
103182
99620
101379
96575
99743
95673
100380
98197
96195
96710
100994
100469
96299
96715
95337
98701
96143
98810
98043
99707
99108
96511
96269
96398
98246
99553
100791
95629
101540
100316
97045
96710
95729
96699
97941
99473
99540
97023
98884
96253
99669
96127
95190
96926
96920
99482
98873
95936
95493
96122
97778
98621
97008
97722
96911
96082
94269
96651
99170
97217
99879
95925
98354
96728
95854
100375
96651
98044
96073
103023
100349
96916
99197
100302
98987
95394
96795
98630
99521
97169
96302
97254
96509
