l2_lines_in.all
82209
83625
77011
78643
83407
81295
84553
82595
80904
81341
83598
82773
83037
84845
83786
81410
79666
81056
82285
82021
82302
84952
80953
82799
79471
82192
80265
81813
80336
82410
84891
84448
84364
81922
83333
84932
83751
84518
84798
83459
84244
81907
83598
81792
84993
84533
83578
83787
82738
82755
85064
84537
84577
84376
80264
81735
82817
82062
81744
82624
81696
83415
84501
81818
84156
79690
81610
82584
81477
80859
84137
81902
79078
79449
81114
81687
80938
78343
79727
78909
82912
79501
83463
83474
84325
82122
81864
79463
79808
80372
79598
77957
81307
80484
78943
82082
79580
81765
81191
80937
82119
79796
80710
80571
83608
81359
79958
78182
79661
82703
81745
83784
81178
83627
79510
81275
81377
81067
81522
80780
84525
81216
82217
78274
80666
82462
80900
84052
83580
78918
83668
80637
82378
82992
80232
79768
83455
83750
83283
82618
83111
80802
82808
83707
84181
84698
83668
80220
81660
81130
79880
82732
84576
84094
84154
84180
85097
84916
84473
84738
84664
84115
84942
84982
84961
83885
83855
84418
83717
83434
85051
84885
83790
81093
85056
84962
84654
84676
82771
84376
84971
83964
83087
84517
85099
84948
80362
78752
78114
79784
83068
81328
80917
78973
78927
82349
77040
82844
84358
83433
84596
82128
79620
80720
84152
79628
78485
78632
77865
78521
79227
79905
79430
78162
81933
81593
82496
82185
79753
79143
79980
78851
85066
78854
78041
78296
78782
79199
81952
80307
82181
80444
78861
79844
80029
81388
81142
79474
83411
81993
79278
80329
79334
81014
83998
82414
83942
81408
80548
81265
82458
83250
82399
84716
82216
84800
81556
84121
84196
83228
85011
81108
82128
80830
83328
81092
84792
83132
79782
81077
80639
84352
80440
81050
83881
83338
83227
81844
83934
82026
81995
82178
81635
83503
84679
79608
81011
82663
80118
83759
78351
81323
82974
84577
79799
81505
82000
84067
80472
78889
78910
84655
83328
80955
82911
79090
81528
81283
83415
85097
81212
82923
82184
82513
83211
83025
81307
82341
82806
80997
84013
84471
82634
84633
83996
82988
83560
82753
83682
83276
83427
78395
80944
80344
81006
78808
79106
80142
81311
81069
80837
82327
80098
79361
81173
82138
81434
82092
78906
82106
79449
83829
79540
80138
80222
79762
81808
80843
84234
84024
83113
82952
79792
81881
83536
80726
83085
83407
81870
77634
81875
79060
78248
82958
81352
81614
79425
82243
81853
80038
81331
81641
79884
81812
79851
81775
83394
80998
79453
82659
84590
84001
83703
82868
78758
82053
84362
83558
84755
84941
84013
84262
78085
77921
80637
78731
79728
80538
82824
83168
79294
81228
79238
82088
81003
78084
79410
80808
83900
80139
80475
77382
77533
77068
79026
78605
80962
77907
79354
77949
80295
79143
81612
84421
81216
79453
80611
79098
83012
80179
81970
82826
81594
78145
79492
84382
80217
83080
81537
81145
81908
82399
81290
78426
82226
83186
80581
78231
81984
80540
80800
80899
82064
83710
80475
81286
79767
84935
80594
82161
84031
82536
82114
80942
82885
82533
84482
80840
82118
78395
80022
78751
79755
79750
80698
78169
77634
79222
81701
79912
80341
79334
80432
79687
78416
80446
77635
78186
80373
80099
79750
82456
79349
79668
82415
80273
77329
80076
77949
79690
79860
81293
79682
79686
78024
84436
82524
81632
79654
77506
81119
81412
82963
82053
82542
82236
83734
82440
83891
83997
82297
83807
81406
81940
82821
79133
77949
79001
82761
78375
78262
77766
77684
77315
78459
83868
82899
85037
84186
83405
82263
82844
84548
84974
83822
83808
84068
82971
81904
85093
82044
82453
83016
82522
82916
82677
82471
83936
83038
79484
84645
84939
83426
84574
83225
84801
83249
84609
84733
84417
82671
84429
85029
84439
83681
83743
82501
84608
81529
84819
83048
83694
84052
83902
83693
77364
83645
83330
77367
79300
81039
80930
84305
84745
84131
81339
84206
81767
84827
84704
83798
84391
83701
84410
82927
83600
82599
83968
79606
84351
82932
84181
82904
82959
84758
83383
83692
81479
80377
78015
79463
80056
81647
85054
84416
84394
83339
84927
84229
84477
84180
83537
83118
84106
84094
84660
83243
84701
83178
84935
84714
84511
84172
84905
83460
84793
82522
82823
83795
78012
81892
83465
82557
84695
84828
84460
83449
81119
83489
84508
85024
84590
80203
84695
83899
84306
85085
84195
83609
83561
84952
85030
82098
83893
84741
79060
77841
78409
77917
77685
77856
83716
83301
83956
82424
84217
81357
81514
84735
79220
82662
83868
81625
79449
84185
84907
84253
81682
84504
84537
84288
83492
84560
82320
82217
84701
84946
84606
84667
84907
83850
82458
82579
84631
84269
83952
83173
82107
84703
84470
81210
82734
84875
84860
83681
84612
84633
82070
82840
82013
82013
84736
82913
84581
83851
83152
82224
83484
83400
81911
84656
82335
84116
83693
81099
84500
83659
82481
84180
79561
82180
83503
83118
82407
83821
83418
83847
84434
82004
82241
78523
79672
83907
83005
82909
81204
81079
81939
84683
82064
82412
84028
80862
85079
84683
84883
84571
84155
82413
81544
84594
83806
81596
83440
81940
83308
83908
82661
85097
81673
81019
85031
82969
84487
82996
79750
83070
83410
84015
84488
84159
82850
83273
82260
83076
84222
82558
81475
79766
80049
84126
82456
82740
83300
84274
81818
79608
81125
83890
81470
83178
84042
80359
83120
84362
85088
84510
82680
83972
84813
82812
83660
83773
82813
82224
83422
81330
79845
83076
83414
80582
82588
81486
82581
81434
79389
80088
81219
82492
80338
81687
83188
82963
80953
81309
84272
80875
79291
81967
82344
85093
84400
83837
82464
83322
83362
82313
83167
83740
83895
81575
83632
82102
82397
83215
82925
82053
83851
84879
84171
82947
83042
82791
83855
85094
84592
84385
83500
84891
83925
83260
83582
84949
82856
81306
81995
84924
84274
83511
83064
84902
81403
84712
84285
83680
83862
83665
83406
82028
82238
83972
83704
84624
83082
82742
83862
84684
81551
82386
82864
82100
82358
84020
81564
80295
