cpu_clk_unhalted.ref_tsc,l1d_pend_miss.pending,cpu_clk_unhalted.thread_p,uops_retired.stalls,br_inst_retired.all_branches,idq_uops_not_delivered.core,mem_inst_retired.any,mem_uop_retired.any,memory_activity.stalls_l2_miss,memory_activity.stalls_l1d_miss,cycle_activity.cycles_mem_any,uops_issued.any,br_misp_retired.all_branches
619776,669162,1255754,907155,360910,4039129,721343,742276,255052,291234,1162434,1608065,2884
1268128,894055,1207573,747405,125213,3657219,620922,720417,297829,354522,1228465,2341529,4453
1788608,2269238,2437109,1869856,479224,5791232,502928,524920,603915,681557,1524804,3022475,5814
976051,1261671,1716117,1252688,356205,4323955,705086,733457,306006,304529,562573,863649,4057
664504,813690,1287845,982605,354087,4353586,740755,778414,346078,391225,1344709,1696850,2990
1280624,827691,1244403,898026,124809,3489707,502216,757405,228774,263823,1131300,2334010,4775
1562269,1968405,1988412,1518476,348514,5036361,486563,280890,552314,583911,1577862,2472014,4680
1266237,1389238,1693573,1237608,343740,4454277,708386,737635,300845,279235,602494,1607176,4192
666805,1074709,1677036,1198462,479385,4801359,947664,973711,354048,400511,1214079,1617365,2888
1247251,745779,1207579,854267,124700,3387021,492213,754257,243958,294538,1214299,2465426,4806
1424659,1702264,1864984,1388313,361413,4444827,505204,283465,401055,438310,1379051,2309395,4617
1434560,1799620,1931389,1459559,357740,5094423,707260,735890,482347,513572,733204,1679845,3731
971615,1307133,1678421,1455875,453306,4958517,941586,987225,309655,361997,924828,1595096,4053
1221291,802361,1464593,883309,241808,3919668,732252,999763,291529,336585,1474234,3066289,4638
1377535,1135153,1658304,1186037,347849,3860840,486353,280016,304282,355403,1350848,2477801,4835
1463407,2068596,2009858,1549278,354423,5653854,728917,758317,550229,589119,818577,1635081,3759
677948,1155423,1354666,1257969,360639,4382036,722805,745208,334486,380354,896815,860460,2947
917782,787248,1217937,618977,235814,3457934,715657,756679,254556,295682,1201742,2482506,4044
1582662,1320385,2026797,1444490,361891,4289928,500381,520156,226510,339385,1597062,2991635,5525
1562899,2206683,2085779,1591655,356184,5479222,702600,733083,584867,604087,860316,927087,3759
692727,1088595,1332343,1221792,348319,4324054,731008,767700,331258,388994,938850,858104,2908
949414,959566,1284155,692390,241822,3613271,727703,755769,271560,324752,1181333,2336532,4022
1289391,902904,1584230,1095661,235752,3426860,267728,505871,199950,290063,1229055,2504960,5063
1793723,2209214,2381528,1805370,471870,6223045,961347,771889,657606,636222,1235400,1578468,4442
658271,906369,1326240,1234049,359432,4329531,722315,745938,326353,370230,1248328,871762,3015
1200159,1050086,1275709,697662,128051,3685893,713796,754843,319466,368166,1255578,2472501,4434
1187514,948116,1535076,1095191,253367,3438681,271215,473731,187394,303417,1151303,2189178,4530
1496089,1910199,1973780,1484292,357101,5248784,707094,508602,482357,463763,1137509,1650253,4876
1329070,1524481,2153984,1592796,450284,5587384,937180,766905,452677,495809,1408215,1548458,3927
1315770,1259978,1405395,1025466,239547,4382571,957749,991730,423233,467265,1616072,2355591,4962
1255976,891870,1593883,1117748,349157,3437733,270765,281590,198475,296703,1217592,2474254,4974
1347909,1405110,1736640,1287996,356336,4826644,732499,760358,356407,338372,634237,1583050,4585
1096815,1744891,1965646,1518966,351271,5495667,699590,715962,554809,599693,1127402,889567,3122
654473,899610,1295890,978834,346750,4405866,725307,767184,321596,380332,1312406,1651624,2937
1491358,1071509,1663185,1188420,238350,3512012,501524,765161,327675,383110,1515067,3015987,5791
1339933,1074066,1649969,1165424,351865,4189461,704620,506843,148383,167419,844105,2503497,5172
1228904,2091289,2045982,1590749,354042,5658895,734330,765242,647140,689056,857213,874055,2981
704360,890865,947043,992090,361589,4578345,730464,752889,327642,370614,1270316,1667415,3128
1213288,900206,1381491,914151,124786,3601086,455390,712364,257503,316906,1222107,2379003,5033
1511122,1220657,1984224,1382240,477823,4154293,733417,523848,224306,253366,1214829,3037526,5454
