decode.lcp,dsb2mite_switches.penalty_cycles,frontend_retired.any_dsb_miss,frontend_retired.dsb_miss,frontend_retired.itlb_miss,frontend_retired.l1i_miss,frontend_retired.l2_miss,frontend_retired.latency_ge_1,frontend_retired.latency_ge_128,frontend_retired.latency_ge_16,frontend_retired.latency_ge_2,frontend_retired.latency_ge_256,frontend_retired.latency_ge_2_bubbles_ge_1,frontend_retired.latency_ge_32,frontend_retired.latency_ge_4,frontend_retired.latency_ge_512,frontend_retired.latency_ge_64,frontend_retired.latency_ge_8,frontend_retired.stlb_miss,frontend_retired.unknown_branch,icache_data.stalls,icache_tag.stalls,idq.dsb_cycles_any,idq.dsb_cycles_ok,idq.dsb_uops,idq.mite_cycles_any,idq.mite_cycles_ok,idq.mite_uops,idq.ms_cycles_any,idq.ms_switches,idq.ms_uops,idq_uops_not_delivered.core,idq_uops_not_delivered.cycles_0_uops_deliv.core,idq_uops_not_delivered.cycles_fe_was_ok
27845,138189,4520769,2092311,103045,965258,0,667959,90,40734,372294,30,2127636,4172,136187,0,0,106217,0,13754,1252098,1982861,835801,346017,4490431,8198224,1377675,28686057,2482998,692677,6887301,45217108,3908212,23617621
27286,123830,4482665,2100869,101575,949941,0,662514,29,44694,372891,30,2135143,3846,142601,0,60,103674,0,14024,1263790,2086870,292412,144183,1646512,8125509,1370281,28549472,2459831,682046,6810419,43705359,3826668,22896326
27554,128671,4461168,2115435,100686,961290,0,672389,60,38817,366080,60,2105462,5130,137218,0,0,103156,0,18207,1271685,2042514,301169,155278,1727351,8116652,1365150,28516937,2469170,684366,6811107,44782647,3884653,23278129
29511,124273,4463175,2099882,101920,992428,0,673593,60,41387,359472,59,2118261,4293,141959,0,240,113285,0,13946,1260101,2138535,311881,347330,4562414,8190502,1363200,28478182,2474252,686394,6829456,43844755,3846897,22803897
27927,120837,4431227,2171682,95475,958723,0,667762,30,39493,416222,30,2084628,4184,139507,0,30,107662,0,14222,1268371,2086529,323064,152997,1702568,8119174,1365070,28295445,2452319,679671,6751566,43292517,3772206,22699761
29312,123177,4438342,2103447,99346,946388,0,665518,60,39408,362997,60,2689644,4507,141276,0,60,107430,383,14754,1256874,2092587,319624,152112,1552155,8145676,1366641,28439981,2457879,681027,6765595,43409794,3805297,22818118
27898,126839,4490288,2084429,101027,963978,0,652668,0,41046,377842,60,2112913,4258,143492,0,30,104759,0,14258,1288715,2055671,340086,159723,1558722,8195048,1364978,28291048,2457704,681486,6802225,43663969,3820729,23562517
26892,122778,4478450,2111556,100727,959466,0,670874,149,40390,367200,30,2405760,4432,142023,0,389,106672,60,19533,1297377,2159316,822923,339419,1620321,8096097,1354564,28252926,2461554,683193,6825246,43927415,3853471,23092053
26980,133286,4479811,2143767,98944,966350,0,673209,30,40850,369179,29,2137946,3898,141631,0,0,112379,0,18591,1281165,2081212,294997,150744,1758449,8159484,1370754,28370550,2453902,679211,6808241,43622134,3802420,23442629
28210,119495,4475025,2129679,100503,962759,754,677914,30,42292,363667,30,2160120,3993,139528,0,0,107275,0,13814,1276312,2163954,951035,377568,1618379,8140169,1358418,28424486,2465107,684933,6848901,44006512,3844695,23021127
23963,410332,2803609,2314717,0,1278939,58,1898007,0,250851,1066999,0,2895553,7031,70851,0,60,58279,0,7173,652956,1076181,166254,78565,877419,4183580,698884,14631571,1282463,350568,5185880,46342572,5477872,8905084
37,27617,97013,29070,211,5465,0,12764,180,1952,7117,0,153839,720,4898,0,540,3273,0,360,28089,199398,752008,284070,4006886,389743,18305,411534,89554,24035,291644,6743022,713362,1665647
0,4691,62696,24447,0,6337,60,11051,2552,1892,6156,30,30392,1079,4085,90,780,4145,0,510,121676,35070,8837,2983,44797,169482,44677,1625187,324427,80883,541686,4153984,435587,313278
