decode.lcp,dsb2mite_switches.penalty_cycles,frontend_retired.any_dsb_miss,frontend_retired.dsb_miss,frontend_retired.itlb_miss,frontend_retired.l1i_miss,frontend_retired.l2_miss,frontend_retired.latency_ge_1,frontend_retired.latency_ge_128,frontend_retired.latency_ge_16,frontend_retired.latency_ge_2,frontend_retired.latency_ge_256,frontend_retired.latency_ge_2_bubbles_ge_1,frontend_retired.latency_ge_32,frontend_retired.latency_ge_4,frontend_retired.latency_ge_512,frontend_retired.latency_ge_64,frontend_retired.latency_ge_8,frontend_retired.stlb_miss,frontend_retired.unknown_branch,icache_data.stalls,icache_tag.stalls,idq.dsb_cycles_any,idq.dsb_cycles_ok,idq.dsb_uops,idq.mite_cycles_any,idq.mite_cycles_ok,idq.mite_uops,idq.ms_cycles_any,idq.ms_switches,idq.ms_uops,idq_uops_not_delivered.core,idq_uops_not_delivered.cycles_0_uops_deliv.core,idq_uops_not_delivered.cycles_fe_was_ok
28362,109001,4513342,2044672,100206,919304,0,660658,60,46493,368747,60,2091509,3362,145888,0,30,101724,0,14199,1273029,2213440,840477,327785,4373057,8220073,1381764,28663823,2472768,685472,6817789,45812554,4024485,23493262
27744,110970,4498052,2029548,98694,915454,0,669897,210,45690,361755,0,2109940,4119,142440,0,0,107940,0,13756,1299677,2125786,279372,140514,1616999,8124584,1366876,28295827,2447348,676969,6817478,43749613,3846849,23026624
30168,122939,4487708,2028190,98952,924507,0,646470,29,45578,370814,30,2111329,4017,143488,0,60,103878,0,13038,1336874,2154872,287266,138883,1547940,8075754,1354618,28207988,2451817,686356,6812441,44978328,3961844,23221170
27197,111911,4460801,1995838,98921,936392,0,666652,60,46592,367237,60,2044301,4518,147329,0,478,104384,0,17683,1313724,2127040,290950,339011,4462638,8251329,1382019,28783089,2475063,685926,6778472,43557677,3827856,22953572
32389,109213,4459736,2103585,97023,934184,0,666881,30,44147,424747,0,2092777,4012,148442,0,30,105378,0,15783,1275957,2123340,291130,144340,1628775,8149904,1371969,28442279,2456268,682338,6819747,44068730,3885708,22946952
27176,129342,4520504,2040602,95554,939802,0,657462,0,45145,363901,30,2073272,4283,143351,0,30,110123,0,16211,1330933,2117417,312188,142691,5549791,8204077,1365830,28434630,2463191,684203,6793532,45496879,3976530,23475782
27335,114926,4498244,1987935,96396,919644,60,664209,0,45660,365941,30,2088271,3834,142585,0,60,99679,60,13123,1284434,2137259,292527,138196,1542317,8127821,1369024,28556035,2469757,684623,6809970,43664419,3854518,22902282
26522,126044,4472531,2027451,98837,941866,0,651320,60,46608,361857,0,2029828,4533,139943,0,30,105754,0,13245,1365880,2134979,305101,144719,4392658,8194238,1374257,28585185,2464439,684842,6813893,45460554,3999249,23287844
29829,113787,4449575,2024027,98269,923316,32,647542,0,47161,367733,30,2094904,3397,144590,0,29,106181,150,13695,1278036,2147548,298449,146735,1631922,8179985,1383139,28617766,2480443,687408,6816663,43604913,3845318,22890094
27420,123864,4512384,1965579,98388,915046,0,666654,0,50449,362894,60,2050917,4040,138996,0,29,103059,0,15482,1368509,2112979,305065,141587,1614825,8233332,1379140,28806638,2470406,684493,6821597,43716806,4008993,23843232
13367,57836,2288316,1011719,47904,435728,0,325742,3724,133688,551637,29,1852877,10575,277926,0,159,484747,0,141353,2551944,3463580,1600174,649125,2604597,7610758,953780,18171587,1449562,353077,3512054,22864654,2033036,11725658
12,51647,137031,31687,0,7177,5675,12643,1741,1862,7387,0,34356,540,3724,0,127,3814,0,450,24171,10849,7582,1711,864406,192226,25424,616104,69012,16430,151762,1505743,176110,761734
0,4953,67339,47933,1867,7786,3309,17211,143,2162,6456,30,31891,510,3603,0,0,3483,0,360,330330,297385,540658,194588,21269,123839,18215,679317,90919,24009,210773,4364941,498504,850022
50,4952,67519,27750,0,7562,1471,196719,270,2252,6367,60,31446,690,24716,0,120,3303,0,450,23225,17126,7469,1297,26338,125590,20015,459303,73249,17396,153450,1268131,172331,140551
10667,123486,1290117,696877,21067,393471,4885,644592,2648,30466,208991,30,1642332,9415,139208,0,451,78808,0,39137,1173331,1811370,2098387,35016,8477404,4038488,472444,9242834,1583075,362370,3877325,26137119,3237823,4609428
14116,17363,2058968,614881,19399,28499,1482,373599,2939,45425,341204,59,1381736,2495,70520,0,60,90604,33,13280,608868,1163813,1084224,204995,4060211,2322818,365923,10811107,3667704,929082,10511782,38423158,3560417,11043594
9512,24017,1561416,943046,104899,601935,240,541630,118,20921,223536,30,1078865,4032,87186,0,420,48190,578,3986,582048,1237662,69353,12082,341941,4123127,563897,11787144,2535636,604567,6501116,29167557,2645376,7772657
8054,17784,1850951,701427,73115,316057,60,422122,30,35353,128842,0,506818,4656,91977,91,2180,112308,58,6666,723807,1229544,745500,185692,4909939,4147497,556636,10667432,1298960,278441,2324619,12965253,1731745,7453775
14495,18570,2144226,1294919,29564,210018,573,109206,654,40508,225719,0,1111543,4303,116029,0,61,87080,0,11740,546473,1151574,682686,3238,1623656,1120541,197488,8775444,3309502,1021296,12583597,40466721,3956229,12295256
12060,19707,1714680,787548,54149,406060,390,373896,90,45434,136347,30,1258151,3636,89342,0,118,2942,0,426,329380,707997,48757,252539,3139647,4012336,607834,13827673,3051167,651137,7069545,32218134,3198726,9447666
8761,17882,1665330,964379,61050,6375,300,402353,59,45526,381294,59,132985,2165,42920,30,362,92029,450,6192,800859,1582046,85550,11333,880348,3941429,601513,14119287,2118990,505400,3676785,17959742,1984316,7026957
14162,33334,2044587,1272846,43492,268696,0,274596,30,24686,207496,244,1315346,7336,81672,0,59,43582,0,12225,639329,1140069,566176,3223,4155728,2223477,362921,9717426,3637112,971989,11665927,44440601,4303925,12257813
11261,8105,1601101,48826,211,17813,2791,278956,90,27645,154184,270,355157,2396,50033,0,0,46353,0,1140,90435,252235,66546,6769,719523,4376400,544405,11283816,2139658,540503,6182908,29829776,2687755,8257774
102,16613,98375,43356,1261,10152,0,15256,60,2943,5196,30,31473,900,8203,0,120,4684,0,660,30354,72346,3341,1258,16183,143777,21631,490360,91827,22947,205666,3982104,428550,823368
43853,1113914,5310148,5207024,40087,369971,0,418704,0,48649,261010,260,1588981,22495,500227,0,863,54886,743,11209,438215,748061,1579494,613603,27811017,4178464,809988,22883244,4722054,1356119,14524225,120468722,13517092,15737516
48390,780299,4672062,3136424,20407,1222144,6684,825227,0,137577,709252,29,2553517,14853,403078,0,210,449278,0,141051,2569628,3250971,504777,255011,2537701,9553974,1272337,30559629,7018554,1746089,19513269,140203679,16224824,14268353
58390,627592,5590457,4410173,0,1174481,3010,1673603,91,193827,955224,655,3248255,15373,483965,0,1041,434178,183,142852,2564498,3069522,492737,250875,2511473,9482545,1264369,30001990,6884102,1724459,19419939,136628384,16060159,9682790
26703,466331,3099763,1832847,24599,479495,0,1363336,1315,4078,44894,239,47158,2279,26218,0,2514,172650,276,57567,1572580,2849019,5951985,2600621,43407863,6820495,875356,19880963,2865009,975773,10401840,87611673,9225780,19392446
50784,244507,3937654,1325106,901,8887,3444,10682,126,48776,223146,1652,2003284,11957,90556,0,332,129294,360,8847,1394162,2078927,930235,224648,867284,2394890,497143,12449168,2384653,811728,9822966,73001383,6987999,11273277
9520,103306,1589119,1157561,36926,315781,1098,194989,2341,25529,225732,60,1383503,4954,71643,0,695,67760,60,11131,552058,888535,4945011,2113722,18255492,3946057,563435,13145612,1921904,395297,3599661,24040088,2672803,1384574
126838,445170,6335280,4756337,117041,1790377,0,1569252,1869,261784,1142267,2084,4073561,50426,533638,0,3041,448363,0,127849,3415247,5282515,298291,108259,1294432,11369167,1586590,36244068,4914810,1342181,13990441,137080336,16395873,18325011
