decode.lcp,dsb2mite_switches.penalty_cycles,frontend_retired.any_dsb_miss,frontend_retired.dsb_miss,frontend_retired.itlb_miss,frontend_retired.l1i_miss,frontend_retired.l2_miss,frontend_retired.latency_ge_1,frontend_retired.latency_ge_128,frontend_retired.latency_ge_16,frontend_retired.latency_ge_2,frontend_retired.latency_ge_256,frontend_retired.latency_ge_2_bubbles_ge_1,frontend_retired.latency_ge_32,frontend_retired.latency_ge_4,frontend_retired.latency_ge_512,frontend_retired.latency_ge_64,frontend_retired.latency_ge_8,frontend_retired.stlb_miss,frontend_retired.unknown_branch,icache_data.stalls,icache_tag.stalls,idq.dsb_cycles_any,idq.dsb_cycles_ok,idq.dsb_uops,idq.mite_cycles_any,idq.mite_cycles_ok,idq.mite_uops,idq.ms_cycles_any,idq.ms_switches,idq.ms_uops,idq_uops_not_delivered.core,idq_uops_not_delivered.cycles_0_uops_deliv.core,idq_uops_not_delivered.cycles_fe_was_ok
27215,132418,4441420,2092354,99867,934778,0,667807,29,44154,367460,60,2103854,4436,136510,0,119,98845,0,15719,1257721,2102250,297671,343717,4491789,8084858,1359099,28116240,2446139,681350,6781844,44568811,3881126,23324633
27458,117621,4492783,2084652,98221,961306,0,670375,0,48964,393721,0,2087141,3881,136523,0,452,96223,0,13521,1222878,2038218,272835,132891,1571278,7927115,1342845,27854795,2426460,674631,6772982,43541301,3793675,22514215
28234,127571,4463852,2104183,95107,937532,0,669469,0,44562,370928,0,2091731,4481,141254,0,0,95687,0,17343,1296632,2014398,299267,141504,1651088,8089319,1367241,28257779,2446171,674417,6767662,44012385,3829832,22857736
27708,122649,4500490,2090814,98741,940660,0,669505,60,43739,366267,60,2081302,4533,133136,0,180,102839,0,15991,1251914,2058829,372018,172088,4377421,8104223,1369608,28488106,2455722,677798,6793067,43494390,3795897,22594935
27016,127951,4349020,2079154,96065,933353,0,673548,0,44089,360580,60,2090607,4077,134962,0,0,97248,0,15263,1231166,2042364,309545,145461,1534828,8124570,1364400,28296587,2459676,676844,6742276,42986420,3844614,22563593
27107,115374,4507403,2030775,98856,934174,598,653864,89,46079,362537,0,2076655,4195,133536,0,30,100034,0,16278,1288280,2147257,832305,351945,1621191,8119737,1368692,28371087,2450917,677237,6758682,43610967,3820041,22581365
27322,114210,4457897,2086483,100992,946098,180,677521,60,44224,367579,0,2400679,4280,134336,0,0,100017,0,14165,1256573,2102507,317267,142599,1550777,8117557,1355309,27979221,2418007,669779,6722622,43097431,3780341,22473262
26753,120317,4497525,2038577,100348,943307,0,671872,56,47050,369499,60,2105765,4029,131636,0,60,100951,0,15915,1282593,2055394,314281,142212,1596260,8164849,1360472,28274212,2448178,671365,6779390,43463273,3884769,22890312
30186,108454,4457507,2012920,95472,966171,0,680556,64,39937,368152,30,2393055,4238,135475,0,0,106313,0,17016,1244860,2100153,854724,325273,1544049,8054098,1363453,28398514,2450948,678077,6794327,43497522,3793389,22589702
26922,124756,4518721,2014905,96764,941748,210,653433,0,41693,373173,0,2100445,4262,136736,0,119,105792,0,13236,1207740,2034203,303699,144419,1604296,8156493,1365851,28523369,2464398,680025,6775097,43580855,3838347,23447824
37226,312124,3782571,1013238,48969,481756,30,339243,60,21092,182676,0,1058347,2340,90570,180,2639,225827,0,124561,2615671,3830570,1495789,614008,2418672,9402059,1284414,29494045,5182332,1229244,13177207,93077768,10244365,16301840
0,36205,91668,31776,0,6846,30,220414,2673,2822,12537,0,31285,540,3663,0,60,3363,0,600,24949,34832,9946,2138,35814,155072,18724,424856,69615,16845,152551,1382134,284528,376589
0,4195,67500,28241,0,9007,4086,12789,721,3903,9763,60,189446,2216,4477,0,180,3153,0,450,29845,38545,548946,206955,2952975,208537,18604,423112,92198,24959,212988,3728627,390526,766000
183,5526,69149,31026,0,6757,0,12312,30,10752,6336,60,31805,570,4082,90,660,3693,0,390,27728,21730,6839,1297,24754,122378,17606,402544,73524,18233,167320,1755352,207243,199893
8705,77631,1175121,716080,21924,216853,60,921932,2145,46110,161112,30,916716,5522,139749,88,3641,104223,0,11838,690355,1243549,1533597,21634,8348355,4013412,571983,13025533,2593460,571276,5255933,33744348,3245480,4851819
9197,13634,1524226,1527190,75751,357317,0,317701,59,43268,327750,59,682654,3756,17235,0,8180,50750,363,5057,1197537,2305344,103718,290972,3789503,4241841,557622,13849763,2407986,611035,6259635,27252680,2516083,8439244
13455,22396,2014966,1370774,50065,452796,0,440616,0,3423,46419,60,1075538,5819,105506,60,182,62770,30,9442,621448,1189834,413505,3136,2364863,3467298,433386,6868877,1547160,502741,6685398,32329426,3580420,11287897
13293,13317,2268746,82672,0,92517,2712,288006,59,42770,336630,30,733449,6290,60015,0,30,81333,716,8166,413410,526586,293231,2328,3089932,3224126,647215,13731452,3792056,903300,7413911,28143524,2858374,8251233
10338,8712,1520481,1064899,80708,616837,451,323175,149,24499,207536,534,1337052,2675,50450,0,1151,52107,60,4983,1019663,1754546,46380,2843,144026,2780512,504876,10170010,2016879,725573,7401354,32292374,2665080,7900822
10607,17878,1795075,998495,23725,439585,0,401018,30,24031,103582,271,831081,4923,138167,0,290,116390,0,903,311283,917777,271932,2906,2399758,4597863,609124,12027918,1693735,336562,4123948,20472429,2461127,10181804
14466,8437,2112894,678790,24832,66674,14379,334117,0,50754,322346,0,1807551,6575,3310,0,119,48878,0,16747,880247,1299000,1105821,198306,1379094,2160886,355520,9290008,3549505,958537,10475560,38437288,3695831,10666840
9797,20143,1388075,1223191,111925,604205,119,443878,90,41839,141146,29,1242688,3139,74345,0,91,27375,355,3641,686100,4371925,44876,2289,195295,3855019,493818,12033088,2295061,613552,6636409,27888479,2737074,8095171
9516,8321,1849533,1397402,79971,233317,362,321358,29,22224,138150,0,44568,6034,27136,118,426,63000,30,5943,658746,702936,580213,198779,686176,2691257,465197,11022380,1634634,325482,2057870,17434541,2347138,8285280
0,15557,98438,26307,0,6485,8468,11053,30,1922,8469,60,44751,630,4595,0,390,6991,0,480,28041,39216,4308,1609,18035,133224,20177,455565,88322,22498,202082,1591893,191243,228309
13034,729385,2788316,4172336,7370,1270077,54,1500926,112,189959,1477789,161,1566102,11538,129092,0,820,67170,0,11570,519765,1711446,15891571,6479055,105810639,4768986,517287,8415963,1293976,320168,3615707,24699203,3481847,9020208
55694,648963,5398668,4319006,13556,1001023,545,1617307,84,176231,585128,918,3478878,19977,301178,0,1456,250597,0,65153,1828351,2472831,837010,210726,3035195,8853611,1215152,28754504,6635798,1647754,18325975,131267619,15354470,10221268
57825,757978,5546526,4510230,1418,1366838,0,1638090,29,262308,1066411,0,3283092,24658,370645,0,2654,341975,239,91265,2807240,3087261,3022558,1168220,4247760,9407601,1279599,29803123,6861499,1714270,19215267,137802659,16207585,9706562
28643,624210,3560492,4190909,16627,887089,419,1101192,153,77612,502312,59,1164620,11443,133759,0,1799,22849,0,52983,1417714,1332905,3452975,1236992,19026402,3715798,577833,14086890,2793938,916877,11221847,92882217,10186885,21577816
10930,38950,2107380,6821129,0,6127,120,1485826,2800,177934,651395,0,1704430,9854,132766,0,3217,77656,937,17173,1683187,1902992,3431916,1162348,8740797,4237907,746975,17730259,4650353,957007,8210990,29010973,2761015,7779676
