cpu_clk_unhalted.c01,cpu_clk_unhalted.c02,cpu_clk_unhalted.c0_wait,cpu_clk_unhalted.distributed,cpu_clk_unhalted.one_thread_active,cpu_clk_unhalted.pause,cpu_clk_unhalted.pause_inst,cpu_clk_unhalted.ref_distributed,cpu_clk_unhalted.ref_tsc,cpu_clk_unhalted.thread,cpu_clk_unhalted.thread_p,cycle_activity.cycles_l1d_miss,cycle_activity.cycles_l2_miss,cycle_activity.cycles_mem_any,cycle_activity.stalls_l1d_miss,cycle_activity.stalls_l2_miss,cycle_activity.stalls_total,exe_activity.1_ports_util,exe_activity.2_ports_util,exe_activity.3_ports_util,exe_activity.4_ports_util,exe_activity.bound_on_loads,exe_activity.bound_on_stores,exe_activity.exe_bound_0_ports,inst_decoded.decoders,inst_retired.any,inst_retired.any_p,inst_retired.macro_fused,inst_retired.nop,inst_retired.prec_dist,inst_retired.rep_iteration,int_misc.clear_resteer_cycles,int_misc.mba_stalls,int_misc.recovery_cycles,int_misc.unknown_branch_cycles,int_misc.uop_dropping,int_vec_retired.128bit,int_vec_retired.256bit,int_vec_retired.add_128,int_vec_retired.add_256,int_vec_retired.mul_256,int_vec_retired.shuffles,int_vec_retired.vnni_128,int_vec_retired.vnni_256,ld_blocks.address_alias,ld_blocks.no_sr,ld_blocks.store_forward,load_hit_prefetch.swpf,lsd.cycles_active,lsd.cycles_ok,lsd.uops,machine_clears.count,machine_clears.smc,misc2_retired.lfence,misc_retired.lbr_inserts,resource_stalls.sb,resource_stalls.scoreboard,topdown.backend_bound_slots,topdown.bad_spec_slots,topdown.br_mispredict_slots,topdown.memory_bound_slots,topdown.slots,topdown.slots_p,uops_decoded.dec0_uops,uops_dispatched.port_0,uops_dispatched.port_1,uops_dispatched.port_2_3_10,uops_dispatched.port_4_9,uops_dispatched.port_5_11,uops_dispatched.port_6,uops_dispatched.port_7_8,uops_executed.core,uops_executed.core_cycles_ge_1,uops_executed.core_cycles_ge_2,uops_executed.core_cycles_ge_3,uops_executed.core_cycles_ge_4,uops_executed.cycles_ge_1,uops_executed.cycles_ge_2,uops_executed.cycles_ge_3,uops_executed.cycles_ge_4,uops_executed.stall_cycles,uops_executed.stalls,uops_executed.thread,uops_executed.x87,uops_issued.any,uops_retired.cycles,uops_retired.heavy,uops_retired.ms,uops_retired.slots,uops_retired.stall_cycles,uops_retired.stalls
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2203872,1161240,5616247,35772286,34196366,3182417,1058349,0,192404,408362,0,220283,349969,32665,0,0,0,0,0,0,0,0,37453,0,43272,0,0,0,0,915,0,270,0,6451723,12524950,124751449,2470703,2255336,48223980,196840144,197122460,3996584,3469128,3443039,7865610,5136494,5890208,6725364,4971997,34812051,11843966,8920714,6184890,3977223,11862626,8904597,6177779,3962093,21485328,21411532,37375725,0,39499629,9131482,9040279,6634318,34007541,24626173,0
0,0,0,32732696,282517,0,0,281897,22511586,32508668,32460961,1613427,314540,17485630,390885,71539,20929847,2992284,2870281,2346560,1886190,7898571,2051182,1168038,5635254,28819232,28747671,2711006,852628,0,191054,367561,0,212147,318828,32880,0,0,0,0,0,0,0,0,27731,0,45652,0,0,0,0,863,0,249,0,6467265,12199058,120386453,2350320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5879090,0,34755771,7924175,7961518,5887481,34404383,24635783,24648063
0,0,0,32605656,283005,0,0,283782,23405486,33788661,33692638,1747686,335171,18468539,442594,77066,21164601,3009742,2698782,2185282,1758657,7571670,2050588,1149961,5625663,28727778,28746548,2688275,852047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,0,6596061,12299523,121644996,2366576,2103807,47337214,195549907,196873189,3989760,3452445,3430747,7827040,5104796,5860205,6705145,4963525,37489569,12658040,9572766,6685225,4319967,12637039,9507697,6649274,3953200,21064938,21063222,34557714,0,35806666,8129624,8059504,5965811,34907407,25202416,25165278
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8056193,2036301,1159984,5629236,28936529,28945316,2730779,857833,0,192479,355652,0,212432,316207,35478,0,0,0,0,0,0,0,0,26952,0,42669,0,0,0,0,817,0,240,0,6537932,12354074,122268656,2356562,2195257,49111430,198808824,198779694,4012407,3777725,3662318,8719260,5515839,6227283,7212216,5331184,34719304,11766704,8847889,6150050,3967949,11770904,8873112,6151700,3965627,21402280,21426314,34781279,0,35626957,8025942,8001408,5884145,35454592,0,0
0,0,0,34097681,293895,0,0,282702,22640579,32789230,32675752,1658729,323677,17489420,367531,53281,20864088,2819735,2709558,2199119,1765237,7779589,2115945,1159078,5638886,28992399,29082844,3023400,998518,0,191718,405048,0,228041,371920,33616,0,0,0,0,0,0,0,0,53061,0,43505,0,0,0,0,734,0,268,0,6208272,12476377,120624495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21101869,34016919,0,35196169,7987320,7967159,5903620,34430705,24671641,25117328
0,0,0,32759499,283769,0,0,284805,22775366,32943490,32924657,1636102,283256,17626101,378953,55430,20816777,2860240,2870511,2390210,1917037,8095749,2053700,1194485,5712804,36995286,41002004,2806341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,793,0,249,0,6522002,12406149,125039513,2658310,2238940,49072708,199808849,200308367,4023946,3486164,3470407,7900862,5138248,5899552,6702439,4951487,34643874,11819642,8888623,6155027,3983288,11868284,8932198,6151983,3972597,21520721,21533436,37668908,0,39010454,8826691,8622843,6249913,38095580,25033363,24532195
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2191233,1757895,7749336,2101169,1166501,5699049,29184465,29117476,2757627,861425,0,192422,360756,0,206196,330337,32955,0,0,0,0,0,0,0,0,25308,0,43200,0,0,0,0,781,0,240,0,6476730,12279785,121306978,2399193,1995354,48032288,197443589,197674938,4025927,3487503,3464581,7890513,5208735,5916332,6732283,5018182,35001365,12692005,9599516,6726826,4299369,12632552,9551382,6680825,4354370,21346846,21263466,34762876,0,35766566,8077589,7883000,0,0,0,0
0,0,0,32542725,281579,0,0,281271,23250265,33606622,33582983,1660688,323751,18449628,435707,91048,21066433,2992915,2715028,2188165,1754376,7507281,2155530,1152256,5649270,28995797,29015169,2746673,862156,0,194173,370573,0,207872,347131,33124,0,0,0,0,0,0,0,0,27816,0,43652,0,0,0,0,749,0,324,0,6459550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3945663,21535885,21282092,35184006,0,35925176,8083739,8039732,5940662,34966127,24635346,24417644
0,0,0,33954624,291741,0,0,292103,23208863,33422161,32470799,1556215,244414,17321453,377826,70019,20877290,2827019,2716355,2210698,1796969,7738480,2170883,1169115,5834274,29991738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,0,232,0,6504095,12189330,120101637,2349472,2022525,49001910,196932331,197648785,4022078,3792382,3681936,8792711,5547984,6258632,7231442,5380584,34852894,11791672,8929249,6185650,3999072,11844407,8928937,6208112,4011294,21371125,21301858,34898042,0,35594789,8081796,8041550,5965325,34886192,24849244,24871076
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2812397,2740582,2178262,1760107,7613558,2020733,1166467,5669594,29210830,29231186,3018277,1000890,0,192329,403743,0,216243,377550,33237,0,0,0,0,0,0,0,0,22402,0,43392,0,0,0,0,774,0,240,0,6302608,12413956,123498055,2474493,2189646,48223077,200502586,200375341,4027486,3500287,3472473,7913840,5155661,5910146,6707428,4962984,37674320,12751543,9619287,6692570,4327219,12651720,9573526,6760964,3984712,21117259,21083718,34460132,0,35880398,0,0,0,0,0,0
