cpu_clk_unhalted.c01,cpu_clk_unhalted.c02,cpu_clk_unhalted.c0_wait,cpu_clk_unhalted.distributed,cpu_clk_unhalted.one_thread_active,cpu_clk_unhalted.pause,cpu_clk_unhalted.pause_inst,cpu_clk_unhalted.ref_distributed,cpu_clk_unhalted.ref_tsc,cpu_clk_unhalted.thread,cpu_clk_unhalted.thread_p,cycle_activity.cycles_l1d_miss,cycle_activity.cycles_l2_miss,cycle_activity.cycles_mem_any,cycle_activity.stalls_l1d_miss,cycle_activity.stalls_l2_miss,cycle_activity.stalls_total,exe_activity.1_ports_util,exe_activity.2_ports_util,exe_activity.3_ports_util,exe_activity.4_ports_util,exe_activity.bound_on_loads,exe_activity.bound_on_stores,exe_activity.exe_bound_0_ports,inst_decoded.decoders,inst_retired.any,inst_retired.any_p,inst_retired.macro_fused,inst_retired.nop,inst_retired.prec_dist,inst_retired.rep_iteration,int_misc.clear_resteer_cycles,int_misc.mba_stalls,int_misc.recovery_cycles,int_misc.unknown_branch_cycles,int_misc.uop_dropping,int_vec_retired.128bit,int_vec_retired.256bit,int_vec_retired.add_128,int_vec_retired.add_256,int_vec_retired.mul_256,int_vec_retired.shuffles,int_vec_retired.vnni_128,int_vec_retired.vnni_256,ld_blocks.address_alias,ld_blocks.no_sr,ld_blocks.store_forward,load_hit_prefetch.swpf,lsd.cycles_active,lsd.cycles_ok,lsd.uops,machine_clears.count,machine_clears.smc,misc2_retired.lfence,misc_retired.lbr_inserts,resource_stalls.sb,resource_stalls.scoreboard,topdown.backend_bound_slots,topdown.bad_spec_slots,topdown.br_mispredict_slots,topdown.memory_bound_slots,topdown.slots,topdown.slots_p,uops_decoded.dec0_uops,uops_dispatched.port_0,uops_dispatched.port_1,uops_dispatched.port_2_3_10,uops_dispatched.port_4_9,uops_dispatched.port_5_11,uops_dispatched.port_6,uops_dispatched.port_7_8,uops_executed.core,uops_executed.core_cycles_ge_1,uops_executed.core_cycles_ge_2,uops_executed.core_cycles_ge_3,uops_executed.core_cycles_ge_4,uops_executed.cycles_ge_1,uops_executed.cycles_ge_2,uops_executed.cycles_ge_3,uops_executed.cycles_ge_4,uops_executed.stall_cycles,uops_executed.stalls,uops_executed.thread,uops_executed.x87,uops_issued.any,uops_retired.cycles,uops_retired.heavy,uops_retired.ms,uops_retired.slots,uops_retired.stall_cycles,uops_retired.stalls
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1167357,5559001,38795211,35704626,3263954,1090837,0,191014,439887,0,248343,303703,33273,0,0,0,0,0,0,0,0,31396,0,43223,0,0,0,0,1112,0,269,0,6559541,12370972,124818744,2729407,2147445,47834889,193722861,194526572,3956895,3461257,3452033,7856976,5121244,5911437,6754147,4984130,35074253,11967325,8923885,6185774,3977662,11923070,8910681,6160593,4277951,21419140,21481930,37302114,0,39224485,9026755,8897697,5940374,34778648,24671741,25103295
0,0,0,32741286,283409,0,0,282229,22554442,32692354,32739699,1601853,286229,17609903,421255,122205,21455173,3062377,2865026,2359071,1860732,7978563,2117593,1169014,5594757,28720588,28780630,2714766,855307,0,192711,375316,0,215396,301182,33105,0,0,0,0,0,0,0,0,26755,0,45601,0,0,0,0,900,0,249,0,6488628,11883008,118158314,2587307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34981426,7999865,8009826,5919395,34377857,24901979,24878771
0,0,0,32935650,284978,0,0,293831,23391758,33754446,33755443,1646360,260228,18410317,383584,70248,20914781,2861184,2682340,2191090,1732947,7665388,2122676,1164252,5629529,28838723,28911990,2729980,854300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,6681591,12259764,123290514,2473936,2187905,48110130,195798546,195886613,3981233,3480665,3437044,7830365,5109832,5871564,7212563,5314011,37279471,12627951,9472136,6635653,4270422,12603005,8803555,6160535,3968731,21429313,21442004,34991717,0,35784263,8110167,8005265,5934389,34373687,24402668,24566240
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7810512,2335856,1165988,5588449,28702562,28669880,2709989,853903,0,192158,384057,0,227672,343418,36098,0,0,0,0,0,0,0,0,25541,0,42767,0,0,0,0,984,0,240,0,6531199,12104050,120348493,2452495,2183276,48224830,216840186,212897158,3992298,3750365,3633180,8672496,5484110,6197299,7211608,4946079,34675924,11805366,8903729,6199020,3972944,11843241,8881150,6171118,3976671,21058130,21047355,34666203,0,35503610,8077843,8061893,5950764,35098410,0,0
0,0,0,33438386,288431,0,0,279853,22375362,32420143,32446767,1582596,261662,17492829,397695,71366,21070627,2856711,2678771,2172469,1725391,7581556,2044130,1137770,5617822,31300623,31334784,2988311,992207,0,191527,387990,0,221278,328907,33769,0,0,0,0,0,0,0,0,27109,0,42644,0,0,0,0,945,0,283,0,6343780,12195969,119858265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20806624,34217208,0,35668399,8111887,8050530,5962713,38133035,25224958,25167094
0,0,0,32649978,282464,0,0,279825,22406421,32379647,32405294,1573823,270943,17480401,380884,60439,21143967,3000375,2822471,2373265,1911672,7983137,2115675,1182338,5762262,29438502,29624142,2823011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1126,0,322,0,6489590,12556260,124807423,2693418,1984945,48554401,197254018,196813009,4051823,3544649,3496177,7936493,5172348,5951881,6753940,4973195,34802939,11834379,8908665,6195028,4017438,11895307,8944638,6231533,4003501,21049828,20961984,37764331,0,38820789,8803608,8545296,6201202,34813520,24430967,24491693
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2248571,1744580,7588596,2152915,1155060,5694390,29291625,29251696,2764546,864786,0,194206,376259,0,225284,303994,33879,0,0,0,0,0,0,0,0,30306,0,45193,0,0,0,0,878,0,240,0,6541619,12236718,122381221,2590700,2260074,48756447,195681256,196039881,4037643,3583684,3511139,8014392,5258602,6012252,6809725,5425434,38054753,12734465,9568416,6679075,4306694,12676831,9532993,6215273,4019238,20982598,21067615,35729921,0,37590515,8587880,8461988,0,0,0,0
0,0,0,32748675,282696,0,0,291567,23238174,33502896,33529576,1628810,249159,18400849,358010,40508,20958440,2876163,2701650,2211542,1766450,7580598,2161980,1157308,5694835,29349468,29276866,2765230,865976,0,194763,384053,0,227206,348732,34959,0,0,0,0,0,0,0,0,28321,0,43929,0,0,0,0,938,0,332,0,6208151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3874320,20943083,21063833,34592447,0,35467400,8050175,8020089,5945195,34681060,24506367,24514570
0,0,0,33811259,291448,0,0,281925,22547382,32630707,32653623,1597257,289330,17576100,400641,69804,20897197,2873419,2688378,2198614,1758783,7692813,2010716,1163662,5800470,29748845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015,0,229,0,6586149,12154615,120756278,2484326,2227996,49272897,214752177,210696451,4019860,3795475,3673552,8780379,5580272,6276005,7260849,4994916,35108170,11955108,8979844,6261497,4037077,11936708,8982906,6248154,4025063,20949795,20925450,34874307,0,35588176,8074020,8028542,5966594,34956750,25028939,24929959
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2857557,2690457,2181087,1737085,7507485,2070496,1136320,5611157,31627785,31420685,2986453,993733,0,191632,406647,0,227835,331951,33987,0,0,0,0,0,0,0,0,23717,0,41545,0,0,0,0,937,0,270,0,6460045,12366316,123396308,2655867,2250774,47714603,196209323,197074006,4060760,3533589,3495580,7977327,5193962,5993896,6805060,5388933,37857287,12762125,9582119,6696780,4336331,12743643,9583752,6234914,3997068,20831429,20935757,35179805,0,36340212,0,0,0,0,0,0
