cycle_activity.stalls_l1d_miss
12436
12511
12565
12383
13062
12081
12721
12773
12349
12558
13076
12637
12060
12193
12667
12337
12193
12944
13088
12895
12637
12859
12643
12156
12109
13160
12235
12167
12842
13064
13250
12757
12133
12673
12301
13003
12574
12091
12593
12201
12601
12488
12872
13013
12879
12799
13190
12463
12685
12584
12223
12505
12577
12750
12667
13226
12703
12836
12902
13142
12949
12945
12355
13130
12055
12727
13094
12715
12414
12535
12367
12931
12915
13196
12529
13184
13160
12167
13190
13082
12553
12836
12247
13081
12132
12877
12872
12493
13256
12343
12505
12571
12842
13046
12281
12224
12409
12860
12259
12109
13136
12253
12913
12127
12998
13230
12607
12593
12367
12403
13161
12259
13040
12043
12547
12942
12069
12986
13098
12601
13124
12135
12212
13013
12247
12166
12259
12217
12635
12006
12175
12249
12391
13223
12208
12992
12475
12037
13022
12762
12577
12938
12914
12231
12902
12075
13196
12883
12049
12926
12842
12319
13031
12163
12980
13147
12183
12463
12676
12656
12619
13172
12697
13075
12733
13148
12835
12829
12655
12589
13016
12607
13112
12571
12391
12583
12281
12871
12162
12727
12115
12511
12860
12896
13062
13136
12031
13028
12765
13118
13034
12805
12397
12841
12813
12434
13214
12157
12079
13178
12169
13166
12457
12391
13039
13094
12866
12974
12697
12714
12625
13169
12792
12571
12499
12067
12639
12822
12506
12986
13010
12665
12357
12876
13000
12464
12721
12187
12079
12390
12253
12883
12403
12469
12467
12283
12733
12618
13088
12511
12980
12259
12103
12265
12497
12825
12711
13034
12758
12337
12589
12835
12517
13135
12808
12422
12181
12361
12115
12625
12333
13004
13040
12796
12295
12829
12764
12271
12652
12257
12782
12709
12313
12151
12436
12593
12288
12241
12350
12193
12968
12930
13136
13028
12383
12376
12139
12145
12576
12890
12067
13157
12397
13002
12415
12535
12722
13010
12842
12185
12968
12289
13040
12039
12385
12139
12888
12246
12583
12752
12109
13148
12818
12164
12469
12853
12115
12253
12661
12571
12547
13164
12512
13265
12469
12962
12043
