cycle_activity.cycles_l2_miss
10382
9669
9945
10219
9714
10645
10360
9749
10175
10395
9746
10671
10116
10499
10223
10185
10337
9892
10217
10439
10532
10641
10223
10586
10177
9957
10018
9755
10088
10364
10604
10272
10157
9928
9794
10499
10494
10172
10370
10374
9743
10053
10145
10181
9867
9796
9729
9770
9694
9874
9917
9815
